"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Which condition results from an extra chromosome 21?","Turner syndrome","Klinefelter syndrome","Down syndrome","Tay-Sachs disease","3","Down syndrome typically results from trisomy 21.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which maternal factor is most likely to threaten prenatal development?","Moderate exercise approved by a physician","Adequate folic acid intake","Chronic malnutrition","Regular prenatal checkups","3","Maternal malnutrition is a major prenatal risk affecting fetal growth and development.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A father's heavy exposure to toxins before conception is important because:","paternal factors never affect prenatal outcomes","sperm quality may be altered","fathers determine only social development","paternal age affects only language","2","Paternal toxic exposure can affect sperm and contribute to reproductive and developmental risk.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"The period from conception to about 2 weeks is called the:","fetal period","embryonic period","germinal period","neonatal period","3","The germinal period covers conception to implantation, approximately the first two weeks.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"During childbirth, the longest stage for most first-time mothers is typically:","delivery of the placenta","transition","dilation and effacement of the cervix","crowning","3","The first stage of labor, involving dilation and effacement, is usually the longest in first births.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Low birth weight is a major concern because it is associated with:","guaranteed intellectual disability","increased risk for developmental and health problems","inevitable emotional disturbance","advanced sensory maturity","2","Low birth weight is associated with elevated risk for survival, neurological, and developmental difficulties.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which newborn assessment most directly evaluates behavioral responses and neurological functioning?","Stanford-Binet","Apgar scale only","Neonatal behavioral assessment","Wechsler scale","3","Behavioral neonatal assessments examine reflexes, responsiveness, state regulation, and neurological functioning.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"The cephalocaudal principle means development proceeds:","from the center of the body outward","from lower body parts to upper body parts","from head to tail","from large muscles to small muscles only","3","The cephalocaudal principle means development proceeds from the head downward.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which brain process is especially important for increasing efficiency in early development?","Neural pruning","Menopause","Pubertal surge","Crystallization","1","Neural pruning removes unused connections, making brain functioning more efficient.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Object permanence refers to understanding that:","objects are always pleasant","hidden objects continue to exist","objects can be classified by color","symbols and objects are identical","2","Object permanence is the understanding that objects exist even when out of sight.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which Piagetian stage characterizes the first two years of life?","Preoperational","Sensorimotor","Concrete operational","Formal operational","2","Piaget described birth to about age 2 as the sensorimotor stage.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A baby repeatedly shakes a rattle for the sound it makes. In Piaget's view, this is best described as:","symbolic reasoning","deferred imitation","circular reaction","conservation","3","Repeatedly reproducing an interesting event discovered by chance is a circular reaction.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Habituation in infancy is useful to researchers because it indicates:","refusal to learn","decreased response after repeated stimulation","mastery of language","onset of attachment","2","Habituation is reduced attention or response after repeated exposure to the same stimulus.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which best reflects the information-processing approach to infant cognition?","Infants cannot remember until language develops.","Cognitive growth involves changes in attention, memory, and processing speed.","Infants develop entirely through unconscious conflicts.","Thinking develops in fixed moral stages.","2","Information-processing theories explain development through changes in mental processes such as attention and memory.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which theorist argued that language acquisition depends on an inborn mechanism for learning language?","Skinner","Bandura","Chomsky","Watson","3","Chomsky proposed an inborn basis for language acquisition.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A toddler says ""goed"" instead of ""went."" This is an example of:","underextension","overregularization","echolalia","telegraphic speech","2","Applying regular grammatical rules to irregular verbs, such as ""goed,"" is overregularization.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Erikson's theory, the major psychosocial task of infancy is:","autonomy versus shame and doubt","trust versus mistrust","initiative versus guilt","identity versus role confusion","2","Erikson identified trust versus mistrust as the core psychosocial conflict of infancy.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Ainsworth's strange situation was designed primarily to assess:","temperament","attachment security","language delay","executive function","2","Ainsworth's strange situation assesses patterns of infant-caregiver attachment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which infant is most likely to be classified as securely attached?","One who ignores the caregiver at reunion","One who is disorganized and fearful without pattern","One who seeks comfort and is soothed upon reunion","One who clings and resists contact simultaneously","3","Securely attached infants use the caregiver as a secure base and are comforted upon reunion.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Social referencing refers to:","using adults' emotional cues to guide behavior","referencing one's grades for self-esteem","naming emotions correctly","comparing IQ scores with peers","1","Social referencing occurs when infants consult caregivers' emotional reactions to interpret unfamiliar situations.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Temperament refers to:","learned moral values","biologically based individual differences in emotional style and self-regulation","a child's IQ ranking","the quality of attachment alone","2","Temperament refers to early emerging, partly biological differences in emotional reactivity and regulation.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is the best example of autonomy in toddlerhood?","Solving algebra independently","Insisting on feeding oneself","Understanding formal logic","Achieving identity commitment","2","Self-directed acts such as feeding oneself reflect growing autonomy in toddlerhood.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which parenting outcome is most likely when caregivers are warm, responsive, and consistent?","Insecure attachment becomes inevitable","Trust and early self-regulation are facilitated","Language is delayed","Moral development stops","2","Warm, responsive, and consistent caregiving supports trust, secure attachment, and regulation.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is a core developmental risk of severe neglect in infancy?","Immediate formal operational thought","Nonorganic failure to thrive","Accelerated puberty","Excessive conservation ability","2","Severe neglect can result in slowed growth and impaired development without a medical cause.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Piaget's preoperational stage, a child focuses on one aspect of a situation and neglects others. This is called:","reversibility","centration","decentration","seriation","2","Centration is focusing on one dimension while ignoring others, a hallmark of preoperational thought.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A preschooler believes that a taller glass always has more liquid than a shorter glass, despite equal amounts. This error shows lack of:","object permanence","class inclusion","conservation","hypothetical reasoning","3","The child fails to understand that quantity remains the same despite changes in appearance.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which development is most characteristic of early childhood language growth?","Loss of grammar","Rapid vocabulary expansion","Decline in symbolic thought","Elimination of private speech","2","Early childhood is marked by strong vocabulary growth and increasingly complex grammar.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"According to Vygotsky, tasks a child cannot yet do alone but can do with guidance fall within the:","latent learning range","zone of proximal development","sensorimotor sequence","conservation range","2","Vygotsky's zone of proximal development includes tasks achievable with guidance but not yet independently.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which best describes private speech in early childhood?","A sign of social incompetence","Externalized self-guidance that aids problem solving","Evidence of insecure attachment","A symptom of language disorder","2","Private speech helps children guide their own behavior and thinking.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Erikson's theory, the central psychosocial conflict of early childhood is:","trust versus mistrust","autonomy versus shame and doubt","initiative versus guilt","industry versus inferiority","3","Erikson viewed early childhood as the stage when children take initiative and develop purpose.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which parenting style is generally associated with the most favorable child outcomes?","Authoritarian","Permissive","Neglectful","Authoritative","4","Authoritative parenting combines warmth with firm, rational control and is linked to positive outcomes.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement about play in early childhood is most accurate?","Play is developmentally unimportant.","Play supports cognitive, social, and emotional development.","Play matters only for motor development.","Play is purely recreational and not symbolic.","2","Play contributes to imagination, self-regulation, perspective-taking, and peer interaction.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A child who can understand that another person may hold a false belief is demonstrating:","theory of mind","overimitation","stranger anxiety","conservation","1","Understanding that others can hold beliefs different from reality reflects theory of mind.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which type of aggression is especially common in early childhood?","Institutional aggression","Instrumental aggression","Ideological aggression","Geriatric aggression","2","Young children often use aggression instrumentally to obtain an object, space, or goal.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In middle childhood, Piaget's major cognitive stage is:","sensorimotor","preoperational","concrete operational","formal operational","3","Middle childhood is the period of concrete operations in Piaget's theory.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A school-age child can arrange sticks from shortest to longest. This skill is called:","transduction","seriation","animism","scaffolding","2","Seriation is the ability to arrange objects in order along a dimension such as length.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Metamemory refers to:","loss of childhood memories","understanding how memory works","traumatic memory repression","photographic recall","2","Metamemory is knowledge about memory processes and strategies.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which child is showing improved executive functioning?","One who cannot inhibit impulsive responses","One who plans a multistep homework routine","One who loses all perspective-taking","One who can only think intuitively","2","Planning, monitoring, and inhibiting impulses are core parts of executive functioning.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Erikson's theory, successful middle childhood development is marked by:","identity achievement","industry","intimacy","ego integrity","2","Industry reflects competence and productivity in school and work-like tasks during middle childhood.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which factor most strongly supports resilience in children facing adversity?","Persistent peer rejection","At least one stable, supportive relationship","Severe chronic bullying","Total academic failure","2","Protective relationships are among the strongest predictors of resilience under adversity.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A child who is widely liked because of cooperative and prosocial behavior is likely considered:","neglected","controversial","popular","rejected-aggressive","3","Popular children are generally well-liked and often socially skilled and prosocial.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Bullying differs from ordinary conflict because bullying involves:","equal power between children","accidental harm only","repeated aggression and power imbalance","only physical violence","3","Bullying involves repeated harmful behavior and unequal power between perpetrator and target.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Puberty is best defined as:","the legal beginning of adulthood","the psychosocial search for identity","the process leading to sexual maturity","the mastery of abstract thought","3","Puberty is the biological transition culminating in reproductive maturity.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which structure is especially notable for continued development during adolescence and is linked to planning and impulse control?","Medulla","Prefrontal cortex","Cerebellum only","Pituitary gland only","2","The prefrontal cortex continues maturing in adolescence and supports planning, inhibition, and judgment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Adolescent egocentrism is most closely associated with:","object permanence and habituation","imaginary audience and personal fable","conservation and reversibility","initiative and guilt","2","Adolescent egocentrism involves believing others are constantly watching and that one's experiences are unique.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Piaget's theory, formal operational thought allows adolescents to:","rely only on trial-and-error behavior","think abstractly and hypothetically","lose capacity for deductive reasoning","understand only concrete objects","2","Formal operations enable hypothetical-deductive reasoning and abstract thought.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Kohlberg's theory primarily concerns development in:","attachment","language","moral reasoning","temperament","3","Kohlberg proposed stages of moral reasoning.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A teenager says, ""A rule is wrong if it violates human dignity, even if it is legal."" This reflects:","preconventional morality","conventional morality only","postconventional reasoning","no moral development","3","Judging rules by universal ethical principles rather than mere legality reflects postconventional reasoning.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Marcia's identity status model is based on the dimensions of:","punishment and reward","crisis and commitment","heredity and environment","trust and attachment","2","Marcia described identity status in terms of exploration and commitment, often summarized as crisis and commitment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which adolescent is in identity moratorium?","One with firm commitments never questioned","One exploring options without final commitment","One with neither exploration nor commitment","One forced into achievement by peers","2","Moratorium involves active exploration without having made a firm commitment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which parenting pattern is generally associated with better adolescent adjustment?","Extremely lax monitoring and detachment","Warmth combined with appropriate monitoring","Harsh punishment without communication","Complete peer control","2","Adolescents generally fare better when parents combine support with reasonable supervision.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which factor is most strongly associated with increased risk for delinquency?","Strong school bonding","Deviant peer affiliation","Secure parental attachment","Consistent supervision","2","Association with deviant peers is a strong predictor of delinquent behavior.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Emerging adulthood is best described as a period:","from birth to age 2","of absolute role stability","of exploration in love, work, and identity","in which identity development ends","3","Emerging adulthood is characterized by instability and exploration in major life domains.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Postformal thought in adulthood is often characterized by:","rigid either-or logic only","immature egocentrism","pragmatic and relativistic thinking","inability to handle contradiction","3","Postformal thought emphasizes practical, flexible, and context-sensitive reasoning.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Sternberg's triarchic theory includes analytical, creative, and:","procedural intelligence","practical intelligence","sensory intelligence","moral intelligence","2","Sternberg's triarchic theory includes analytical, creative, and practical intelligence.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which issue is especially salient in emerging and young adulthood?","Trust versus mistrust","Intimacy versus isolation","Industry versus inferiority","Ego integrity versus despair","2","Young adulthood centers on forming close, committed relationships without losing selfhood.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"According to Erikson, failure to resolve the central psychosocial task of young adulthood most likely results in:","identity diffusion only","shame and doubt","isolation","stagnation","3","Erikson proposed that failure to establish intimacy can result in isolation.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement about cohabitation and marriage is most accurate from a developmental perspective?","Relationship outcomes depend only on age.","Relationship quality is influenced by personal, cultural, and contextual factors.","Marriage always decreases stress for all adults.","Cohabitation never leads to long-term commitment.","2","Developmental perspectives emphasize that relationship outcomes depend on multiple interacting factors.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is the best example of generativity in middle adulthood?","Withdrawal from all social roles","Concern for guiding the next generation","Exclusive focus on adolescent peer approval","Persistent identity foreclosure","2","Generativity involves investing in and contributing to younger generations and society.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"The idea of a social clock refers to:","biological aging of neurons","culturally influenced expectations about timing of life events","a fixed genetic schedule that is identical for all people","time perception in late adulthood","2","The social clock refers to socially shared beliefs about when major life events should occur.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which cognitive pattern is most typical in middle adulthood?","Both fluid and crystallized intelligence decline equally early","Crystallized intelligence is often maintained or improved, while some fluid abilities decline","All intellectual abilities increase uniformly","Expertise becomes irrelevant","2","Knowledge-based abilities often remain strong in midlife, while processing speed and novel reasoning may decline somewhat.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which best explains why expertise can offset some age-related cognitive slowing in adulthood?","Experts ignore prior knowledge","Practice and domain-specific knowledge support efficient performance","Experts rely only on working memory capacity","Expertise prevents all biological aging","2","Expertise compensates through efficient strategies and accumulated knowledge.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which physical change is common in middle adulthood?","Full reversal of sensory decline","Gradual changes in vision, hearing, and reproductive functioning","Universal severe dementia","End of all creativity","2","These are common midlife physical changes.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A middle-aged adult reevaluates priorities after noticing that life is finite, yet remains productive and invested in family and work. This is best interpreted as:","inevitable midlife crisis","adaptive midlife reflection","pathological regression","identity confusion typical of infancy","2","Reevaluating life priorities without dysfunction is a normal and often adaptive developmental process.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement about aging is most accurate?","Aging affects all body systems in exactly the same way and rate.","Aging is highly variable and influenced by lifestyle, health, and context.","Cognitive decline in old age is always pathological.","Personality becomes completely unstable in late adulthood.","2","Late adulthood shows substantial individual variability shaped by behavior, health care, and environment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Fluid intelligence refers mainly to:","accumulated knowledge and vocabulary","speed of processing and novel problem solving","moral identity and wisdom","autobiographical memory only","2","Fluid intelligence concerns solving new problems and thinking quickly and flexibly.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which memory system is most likely to show age-related decline in late adulthood?","Procedural memory only","Working memory and episodic recall","Memory for overlearned skills only","All memory systems decline equally","2","These systems commonly show age-related changes, especially under high processing demands.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Wisdom in late adulthood is best understood as:","perfect memory recall","absence of emotional conflict","expert knowledge about life and good judgment","total disengagement from society","3","Wisdom refers to deep, balanced, experience-based judgment about life matters.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"In Erikson's theory, the major psychosocial task of late adulthood is:","intimacy versus isolation","industry versus inferiority","ego integrity versus despair","autonomy versus shame and doubt","3","In late adulthood, people evaluate their lives and either achieve integrity or experience despair.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which older adult best exemplifies successful aging?","One free of all illness and disability","One who adapts effectively, maintains engagement, and compensates for losses","One who rejects all social ties","One who denies any change in functioning","2","Successful aging is not the absence of all illness but effective adaptation and continued meaningful engagement.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Selective optimization with compensation refers to:","refusing help to maintain pride","focusing on priority goals, maximizing strengths, and adapting to losses","avoiding all challenges in late life","depending entirely on others","2","Selective optimization with compensation involves choosing key goals, strengthening performance, and compensating for decline.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which experience is most common after retirement for many adults?","A single uniform reaction","Adjustment that varies depending on health, finances, identity, and social support","Immediate severe depression in all cases","Total loss of all roles","2","Retirement experiences are diverse and shaped by multiple personal and contextual variables.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Bereavement refers to:","the biological process of dying","the social and personal experience of loss due to death","only funeral rituals","denial of death","2","Bereavement refers to the condition of having lost someone through death and the associated adjustment process.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which statement about grief is most accurate?","Everyone passes through identical stages in the same order.","Grief reactions vary widely across persons and cultures.","Healthy grief ends within a fixed number of days.","Strong grief always indicates psychopathology.","2","Contemporary views recognize variability in grief expression, timing, and coping.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A person continues to function in daily life while gradually adjusting to a spouse's death and experiencing recurring sadness. This pattern is:","necessarily abnormal","consistent with common bereavement variation","evidence of psychosis","proof of absent attachment","2","Bereaved persons often continue functioning while experiencing waves of sadness; this can be part of normal adaptation.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is the best example of an ethical issue at the end of life?","Preference for symbolic play","Questions about autonomy, advance directives, and hastening death","Toilet training resistance","Class inclusion","2","End-of-life ethics commonly involve autonomy, informed choice, legal directives, and decisions about life-sustaining treatment.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Under the PAP Code of Ethics, which principle requires psychologists and psychometricians to safeguard privacy and confidentiality?","Integrity only","Respect for the Dignity of Persons and Peoples","Social popularity","Operant conditioning","2","The PAP Code explicitly links dignity with privacy, informed consent, and protection of confidentiality.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A psychometrician is asked to administer and interpret a specialized test for which they have no training. The most ethical response is to:","proceed to avoid disappointing the client","interpret the test using intuition","refuse or refer unless proper competence and supervision are present","let an untrained assistant handle it","3","Ethical practice requires work within one's competence and appropriate referral or supervision when beyond one's training.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Which is most consistent with informed consent in psychological services?","Obtaining signature only after the session ends","Explaining the nature, purpose, and limits of confidentiality before proceeding","Avoiding discussion of risks to prevent anxiety","Relying on verbal implication in all cases","2","Informed consent requires understandable explanation before services begin, including confidentiality limits.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A school contracts a psychology practitioner to assess a student. Ethically, the practitioner should first clarify:","only the testing fee","who the client is, how results will be used, and limits of confidentiality","only the school's preferred diagnosis","only whether parents are strict","2","Third-party requests require clear role clarification, client identification, intended use of information, and confidentiality limits.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Under ethical standards, confidential information may be disclosed without consent primarily when:","a colleague is curious","disclosure is entertaining","permitted or mandated by law, or needed to protect from harm","a practitioner wants to post a case online","3","Ethical disclosure without consent is limited to lawful or protective purposes and only to the extent necessary.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A practitioner posts on social media that their intervention ""guarantees success for all children with developmental delays."" This is primarily unethical because it:","uses too few words","may be false or deceptive advertising","mentions child development","avoids chapter references","2","Guarantees of universal success are misleading and violate standards against false or deceptive public statements.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"According to ethical standards, telepsychology:","is exempt from ordinary ethical rules","may ignore confidentiality because it is online","follows the same ethical principles as face-to-face services","is prohibited in all situations","3","The PAP Code states that telepsychology remains governed by the same ethical principles as in-person practice.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"Under RA 10029 and the PAP Code, practice is limited by:","personal confidence alone","popularity in the community","legal licensure and professional boundaries of competence","number of social media followers","3","RA 10029 and the PAP Code emphasize lawful licensure and practice within competence boundaries.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A psychometrician becomes aware that another practitioner's serious misconduct is likely to cause substantial harm. What is the most ethical action?","Ignore it to avoid conflict","Spread rumors informally","Take further action and report to appropriate authorities, unless confidentiality rules clearly prohibit it","Publicly shame the person online first","3","When substantial harm is likely, ethical standards support reporting through proper channels, while still respecting confidentiality limitations.","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
"A practitioner's personal distress has become so severe that it impairs judgment during assessment work. Ethically, the practitioner should:","continue working to prove resilience","conceal the problem from everyone","seek consultation or assistance and consider limiting, suspending, or terminating duties","delegate all work to unqualified staff","3","Ethical competence requires practitioners to address personal problems that impair professional functioning and protect clients from harm. DEVELOPMENTAL PSYCHOLOGY EXAM 7","Medium","Developmental Psychology","Chapter 6 Set 6","Chapter 6 Set 6"
