Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement about low-birth-weight infants is most accurate?,All low-birth-weight infants are postmature.,Low birth weight may result from prematurity or restricted fetal growth.,Low birth weight has no association with later developmental outcomes.,Low birth weight always indicates chromosomal abnormality.,2,Low birth weight is a descriptive outcome that may arise from being born too early or from poor fetal growth.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"In a newborn, the Apgar scale is primarily used to:",diagnose intelligence level,assess physical condition shortly after birth,determine attachment style,predict adult personality,2,"The Apgar score is a rapid postnatal indicator of newborn status, including heart rate, respiration, muscle tone, reflexes, and color.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which developmental pattern is illustrated when infants gain control of the head before the legs?,Proximodistal trend,Cephalocaudal trend,Classical conditioning,Canalization,2,"Cephalocaudal development proceeds from head to tail, so control of the head appears before lower-body control.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A baby turns toward a loud sound and later reaches for the source. This behavior reflects early:,sensory and perceptual development,symbolic reasoning,formal operational thought,moral internalization,1,Orienting to sound and coordinating perception with action reflect early sensory and perceptual functioning.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"According to Piaget, the major cognitive achievement of the sensorimotor stage is:",mastery of hypothetical reasoning,conservation of number,object permanence,deductive logic,3,A major sensorimotor achievement is understanding that objects continue to exist even when not currently perceived.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"An infant repeatedly shakes a rattle and smiles when the sound occurs, then continues doing so. This is best explained by:",operant conditioning,imprinting,delayed imitation,conservation,1,"The infant repeats a behavior because it produces an interesting consequence, which is the essence of operant conditioning.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which finding would most strongly support Vygotsky's view of cognitive development?,Children learn best when left entirely on their own.,Social interaction helps children internalize culturally valued ways of thinking.,Cognitive growth depends only on biological maturation.,Development progresses through fixed universal stages without cultural variation.,2,Vygotsky emphasized that cognitive growth is socially mediated and culturally organized.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A toddler calls all four-legged animals ""dog."" This is an example of:",overregularization,overextension,private speech,egocentrism,2,"Overextension occurs when a child uses one word too broadly, such as calling all four-legged animals ""dog.""",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement best reflects the role of temperament in infancy?,Temperament is identical in all infants.,Temperament refers to biologically based individual differences in emotional style and regulation.,Temperament is determined solely by parenting style.,Temperament becomes relevant only in adolescence.,2,"Temperament involves early-appearing, partly biologically rooted patterns of emotional reactivity and self-regulation.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A securely attached infant is most likely to:,ignore the caregiver completely after separation,use the caregiver as a base for exploration,show no distress in unfamiliar settings,reject contact after reunion,2,Securely attached infants balance exploration with trust in the caregiver's availability.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"The ""social smile"" is best understood as an early sign of:",formal logic,social responsiveness,moral reasoning,autobiographical memory,2,The social smile reflects early engagement with others and growing social reciprocity.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"During toddlerhood, the increasing use of ""mine"" and ""me do it"" most directly reflects:",initiative,emerging self-concept and autonomy,generativity,identity foreclosure,2,Toddler insistence on self-ownership and independent action reflects a growing sense of self and autonomy.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which parental response is most likely to promote conscience development in toddlers?,Harsh punishment without explanation,Consistent guidance paired with warmth,Total absence of limits,Frequent ridicule of mistakes,2,"Warm, consistent discipline supports internalization, empathy, and conscience formation more effectively than harshness.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Failure to thrive in infancy is most likely to raise concern about:,only genetics,only nutrition,possible neglect or severe caregiving problems,superior adaptation,3,"Failure to thrive can reflect nutritional problems and may also signal neglect, deprivation, or severe caregiving disturbance.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A preschooler believes the moon follows her wherever she goes. This best illustrates:,conservation,animism and egocentric thought,postformal thought,inductive logic,2,"Preschoolers may attribute life-like qualities or self-related meanings to inanimate events, reflecting preoperational limitations.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which task is a preschooler in Piaget's preoperational stage most likely to fail?,Deferred imitation,Symbolic play,Conservation of liquid quantity,Using simple sentences,3,Preoperational children often judge quantity by appearance and typically fail conservation tasks.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A child talks aloud while assembling blocks and gradually becomes better organized. Vygotsky would describe this as:,echolalia,private speech aiding self-regulation,moral realism,object permanence,2,Vygotsky viewed self-directed speech as a tool children use to guide behavior and thinking.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which factor most strongly supports emergent literacy in early childhood?,Exclusive reliance on worksheets,Rich language exposure and shared book reading,Delaying speech until school age,Avoiding pretend play,2,"Emergent literacy is fostered by conversational language, storytelling, print exposure, and reading interactions.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A preschool child can understand that another person may hold a false belief. This suggests development of:,reversibility,theory of mind,transitive inference,postconventional morality,2,Understanding that others can hold beliefs different from reality reflects theory of mind.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"According to Erikson, the central psychosocial conflict of early childhood is:",trust versus mistrust,autonomy versus shame and doubt,initiative versus guilt,industry versus inferiority,3,"In early childhood, children strive to act purposefully and develop initiative while learning limits.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which parenting style is generally associated with the most favorable developmental outcomes in children?,Authoritarian,Permissive,Neglectful,Authoritative,4,Authoritative parenting combines warmth with structure and is most consistently linked with adaptive developmental outcomes.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Rough-and-tumble play in middle childhood is best understood as:,always a sign of aggression disorder,developmentally normal physical play that can support social competence,evidence of moral decline,incompatible with peer acceptance,2,"Rough-and-tumble play is often normal, distinct from hostile aggression, and can help children practice social negotiation.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A school-age child who can mentally reverse operations and understand conservation is in Piaget's:,preoperational stage,concrete operational stage,formal operational stage,sensorimotor stage,2,"Concrete operational thought includes conservation, decentration, and mental reversibility.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which ability improves notably in middle childhood and contributes to better academic performance?,Reflexive grasping,Executive functioning,Sensorimotor circular reactions,Neonatal state regulation,2,"Planning, inhibition, working memory, and organized attention improve in middle childhood and support academic success.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A child says, ""I used to forget my assignments, so now I put them in the same folder every day."" This best illustrates:",metamemory,animism,identity moratorium,tertiary circular reactions,1,Metamemory is knowledge about one's own memory processes and strategies for improving recall.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A school-age child who believes that effort leads to improvement in schoolwork is showing:,learned helplessness,self-efficacy,identity diffusion,role confusion,2,Self-efficacy is the belief that one can succeed through effort and effective action.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"According to Erikson, a major developmental task of middle childhood is resolving:",initiative versus guilt,identity versus role confusion,industry versus inferiority,intimacy versus isolation,3,"School-age children develop competence through achievement and comparison with peers, making industry versus inferiority central.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which child is most likely to be sociometrically popular?,One who is consistently disruptive and domineering,"One who is cooperative, helpful, and socially skilled",One who refuses all group activities,One who threatens peers to gain status,2,"Popular children are generally prosocial, emotionally regulated, and effective in peer interactions.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Bullying differs from ordinary conflict because bullying typically involves:,equal power between children,playful teasing only,repeated aggression and power imbalance,immediate reconciliation,3,"Bullying involves repetition and unequal power, distinguishing it from ordinary peer disagreements.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Resilience in middle childhood is best defined as:,absence of stress,capacity to adapt positively despite adversity,superior intelligence alone,refusal to depend on others,2,Resilience refers to successful adaptation in the face of risk or challenge.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which event marks the beginning of adolescence most directly from a biological standpoint?,Entry into college,Menopause,Puberty,Retirement,3,Puberty marks the biological transition into adolescence through sexual maturation and hormonal change.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about the adolescent brain is most accurate?,Brain development is fully complete by age 10.,Emotional and reward systems may mature faster than impulse control systems.,Adolescents cannot think abstractly.,The prefrontal cortex develops before limbic sensitivity increases.,2,This imbalance helps explain adolescent risk taking and strong emotional reactivity.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"An adolescent who believes ""everyone is watching me"" is showing:",object permanence,imaginary audience,conservation,social referencing,2,The imaginary audience is the adolescent belief that others are constantly observing and evaluating them.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Piaget associated adolescence with the emergence of:,sensorimotor intelligence,concrete operations only,formal operational thought,preconceptual reasoning,3,"Formal operations involve abstract, hypothetical, and systematic reasoning associated with adolescence.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Kohlberg's conventional level of moral reasoning is characterized by:,obedience solely to avoid punishment,judgments based on social approval and maintaining order,reliance on abstract universal principles only,complete rejection of rules,2,Conventional morality emphasizes conforming to expectations and maintaining social rules.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
An adolescent chooses not to cheat because doing so would betray a personal principle of fairness even if no one would know. This best reflects:,preconventional reasoning,conventional reasoning,postconventional reasoning,amoral behavior,3,Postconventional reasoning relies on internalized principles that may transcend immediate external consequences.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Marcia's concept of identity moratorium refers to:,commitment without exploration,lack of crisis and lack of commitment,active exploration without firm commitment,firm commitment after no questioning,3,Moratorium is the status in which the adolescent is exploring alternatives but has not yet committed.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which factor is most protective against adolescent delinquency?,Persistent peer rejection plus weak monitoring,Strong parental monitoring and prosocial peer ties,Easy access to drugs,Chronic school disengagement,2,"Protective factors against delinquency include supportive supervision, school engagement, and association with prosocial peers.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about adolescent-parent relationships is most accurate?,Normal adolescence always involves severe rebellion.,Conflict usually reflects complete detachment from family.,Most adolescents remain attached to parents even while seeking autonomy.,Parent influence disappears once peers become important.,3,Adolescence usually involves renegotiation of relationships rather than complete rupture from parents.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A teenager engages in unprotected sex because she believes ""it won't happen to me."" This best illustrates:",hypothetical reasoning,invulnerability fable,deferred imitation,secure attachment,2,"The invulnerability fable is the belief that one is uniquely protected from harm, which can promote risky behavior.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Emerging adulthood is best characterized as a period of:,complete dependence with no identity exploration,identity exploration and instability in roles and relationships,universal marriage and parenthood,decline in cognitive flexibility,2,"Emerging adulthood commonly includes exploration in love, work, worldview, and lifestyle.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Sternberg's triarchic view of adult intelligence emphasizes:,only verbal IQ,only fluid reasoning,"analytical, creative, and practical abilities",only innate aptitude,3,"Sternberg's triarchic view includes analytical, creative, and practical intelligence.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Emotional intelligence refers primarily to the ability to:,memorize emotional terms,understand and regulate emotions effectively,avoid all negative feelings,suppress empathy entirely,2,"Emotional intelligence involves perceiving, understanding, and managing emotions in oneself and others.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A young adult who can evaluate evidence from multiple perspectives and tolerate ambiguity is demonstrating:,postformal or mature adult thinking,sensorimotor reasoning,animistic thought,egocentrism,1,"Mature adult thought often involves relativism, practicality, and tolerance for ambiguity.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which issue is a major psychosocial task in emerging and young adulthood according to Erikson?,Industry versus inferiority,Intimacy versus isolation,Ego integrity versus despair,Trust versus mistrust,2,"Young adulthood centers on forming close, committed relationships without losing identity.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about marriage and cohabitation in young adulthood is most accurate?,All cohabiting relationships are unstable.,Relationship quality depends only on legal status.,"Developmental outcomes vary with commitment, communication, and context.",Marriage eliminates all conflict.,3,Relationship quality depends on multiple contextual and interpersonal variables rather than legal status alone.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Parenthood often requires:,no role adjustment,immediate decline in all well-being,negotiation of responsibilities and adaptation to new demands,abandonment of adult identity,3,"Parenthood changes roles, time use, finances, and relationship patterns, requiring adaptation.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Fluid intelligence generally refers to:,accumulated knowledge and verbal skill,speed and flexible reasoning in novel situations,autobiographical memory only,emotional attachment,2,Fluid intelligence supports problem solving in unfamiliar situations without relying mainly on prior learning.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Crystallized intelligence generally refers to:,culturally acquired knowledge and expertise,rapid sensory processing,reflexive action,hormonal regulation,1,"Crystallized intelligence reflects accumulated knowledge, vocabulary, and learned skills.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement best reflects a contemporary view of midlife?,Midlife is universally a time of crisis.,Midlife is purely biological and unaffected by culture.,Midlife experiences vary widely depending on context and personal meaning.,Personality stops changing completely at age 40.,3,Contemporary developmental psychology rejects the idea that midlife follows one uniform pattern for everyone.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A 48-year-old worker solves job-related problems efficiently by drawing on years of experience. This best illustrates:,tertiary circular reactions,expertise,imaginary audience,basic trust,2,"Expertise reflects highly practiced, domain-specific skill and efficient problem solving based on experience.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Erikson associated middle adulthood most strongly with:,identity versus role confusion,generativity versus stagnation,autonomy versus shame and doubt,trust versus mistrust,2,Middle adulthood emphasizes contributing to society and guiding the next generation rather than becoming self-absorbed.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which person best exemplifies generativity?,A middle-aged adult mentoring younger colleagues and investing in the next generation,An adolescent resisting parental curfew,A toddler insisting on independence,An older adult conducting life review,1,"Generativity is expressed through care, mentorship, productivity, and concern for the future of others.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"The ""empty nest"" transition is best understood as:",uniformly harmful to all parents,"often shaped by marital quality, cultural expectations, and parental identity",always followed by depression,unrelated to development,2,"The empty nest can be experienced as loss, relief, growth, or mixed feelings depending on broader context.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Midlife well-being is generally most strongly associated with:,perfection in every role,"supportive relationships, health, purpose, and adaptive coping",complete absence of work demands,denial of aging,2,"Midlife well-being is multidimensional and supported by social, physical, and psychological resources.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about aging is most accurate?,All older adults experience dementia.,"Aging involves both losses and strengths, with wide individual variability.",Cognitive decline is uniform across all abilities.,Personality becomes impossible to study in late adulthood.,2,Late adulthood includes heterogeneity; some capacities decline while others remain stable or improve.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which concept refers to the increasing proportion of older adults in the population?,Pubertal timing,Mortality revolution,Graying of the population,Sequential trend,3,This phrase refers to the growing proportion of older adults in the population.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which cognitive ability tends to remain relatively more stable in late adulthood compared with processing speed?,Speeded perceptual comparison,Working memory span,Crystallized knowledge,Reaction time,3,Accumulated knowledge often remains comparatively stable in late adulthood even as processing speed slows.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Wisdom in late adulthood is best described as:,memorizing facts more quickly than young adults,expert knowledge in the pragmatics of life,complete emotional detachment,absence of mistakes,2,"Wisdom involves sound judgment about life matters, uncertainty, values, and human affairs.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Selective optimization with compensation refers to:,random activity in old age,"a strategy of focusing on priorities, maximizing strengths, and offsetting losses",refusing help from others,withdrawing from all roles,2,Selective optimization with compensation describes adaptive self-regulation in aging.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Erikson's final psychosocial crisis is:,integrity versus despair,intimacy versus isolation,autonomy versus shame,initiative versus guilt,1,Erikson proposed that late adulthood centers on evaluating one's life with acceptance versus regret.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which factor is most consistently associated with better adjustment in late adulthood?,Social isolation,Meaningful social support,Rigid avoidance of change,Total dependence in all tasks,2,"Supportive relationships buffer stress, reduce loneliness, and promote adjustment in later life.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Widowhood adjustment in late adulthood is influenced most by:,only chronological age,only income,"prior relationship quality, health, support, and coping resources",complete absence of grief,3,"Adjustment to widowhood is shaped by multiple personal and contextual factors, not by age alone.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about retirement is most accurate?,Retirement affects all adults in the same way.,"Retirement adjustment depends on finances, health, identity, and social roles.",Retirement always worsens mental health.,Retirement eliminates developmental tasks.,2,"Retirement is a developmental transition whose impact varies depending on resources, meaning, and planning.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"In K�bler-Ross's framework, the five reactions to dying are best understood as:",fixed stages everyone experiences in order,possible reactions that vary across individuals,evidence of psychopathology,traits of old age only,2,"Contemporary understanding treats K�bler-Ross's reactions as possible responses, not rigid universal stages.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Bereavement refers to:,only the funeral ritual,the state of loss after death of a significant person,denial of mortality,assisted suicide,2,Bereavement refers to the objective condition of having lost someone significant through death.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which loss is often especially associated with prolonged disruption of identity and daily routine in late life?,Losing a pencil,Failing a classroom quiz,Death of a long-term spouse,Missing one work meeting,3,"Loss of a spouse often disrupts identity, companionship, routines, and emotional security, especially in later life.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement best reflects contemporary understanding of grief?,Healthy grief follows one universal timetable.,Grief is always brief if the person is resilient.,"Grief varies in pattern, intensity, and duration across persons and cultures.",Children do not grieve meaningfully.,3,Current perspectives emphasize variability in grieving rather than one universal pathway.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A patient signs a document specifying preferred medical treatment should decisional capacity be lost. This is a:,mnemonic,life review,advance directive,sociometric rating,3,An advance directive records treatment wishes in case the person later loses decisional capacity.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement best reflects the developmental meaning of life review in later life?,It is merely nostalgia with no adaptive value.,It can help integrate experiences and support a sense of meaning.,It is identical to denial.,It occurs only in dementia.,2,"Life review can promote coherence, acceptance, and ego integrity in later life.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"Under RA 10029 and the PAP Code, which statement is most accurate?",Anyone with psychology units may independently practice as a psychologist.,Only licensed and registered psychologists and psychometricians may legally practice within the bounds prescribed by law.,A psychometrician may practice psychotherapy independently as a routine service.,Licensure is optional if one has many years of experience.,2,"RA 10029 and the PAP Code require that only licensed and registered psychologists and psychometricians practice legally, and only within the limits of their professional scope.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A psychometrician is asked to provide therapy to a client with depression in a private clinic. The most ethical response is to:,accept because test users are automatically therapists,provide therapy if the client insists,"decline and refer appropriately, because psychometricians are prohibited from routine therapy practice",proceed without documentation,3,"A psychometrician's ethical and legal role does not include routine independent psychotherapy, so declining and referring appropriately protects the client and respects scope of practice.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A practitioner is asked to assess a client using an instrument that has no validity, no reliability evidence, and no appropriate norms for the client's population. The best action is to:",use it anyway if it is popular online,use it if the client is curious,avoid using it and select a more appropriate assessment tool,photocopy it first to improve standardization,3,"Ethical assessment requires valid, reliable, and appropriate tools so that conclusions are accurate, fair, and professionally defensible.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which action best protects test security?,Posting test items on social media for discussion,Allowing unqualified staff to keep protocols at home,Restricting access to qualified personnel and securing materials,Giving raw test data to anyone who requests it,3,Test security is protected when materials are stored safely and access is limited to properly qualified persons.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A psychologist is consulted by a school about a child referred by parents. Which release of results is most ethical?,Give complete raw data to all teachers immediately,Release results only to agreed referral sources and explain findings in understandable language,Announce results during a faculty meeting,Post the report in the classroom file for open access,2,Ethical release of results requires limiting disclosure to proper recipients and communicating findings clearly and appropriately.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which statement about confidentiality is most accurate under the PAP Code?,Confidentiality has no limits once a person becomes a client.,"Confidential information may be disclosed only when mandated or permitted by law, or to prevent harm, and only to the extent necessary.",Any family member may automatically access records.,"Confidentiality applies only to written notes, not digital files.",2,"Confidentiality is a core ethical duty, but disclosure may occur in legally or ethically justified situations and only in the minimum amount necessary.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"Before conducting assessment or intervention through telepsychology, the practitioner should:",assume online practice has no special risks,avoid discussing privacy because it may worry the client,"explain risks to privacy, limits of confidentiality, and technology-related concerns",allow anyone nearby to observe the session,3,"Telepsychology requires informed discussion of privacy risks, confidentiality limits, and technology-related issues before services begin.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A practitioner realizes that a personal problem is significantly interfering with competent service delivery. The most ethical course is to:,ignore it to maintain reputation,continue because clients should adapt,"seek consultation or assistance and limit, suspend, or terminate duties as needed",disclose all personal details to every client,3,Ethical practice requires practitioners to protect clients by addressing personal problems that impair competence and by adjusting professional duties when needed.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
"A psychology practitioner agrees to serve a client referred by a corporation. At the outset, the practitioner should clarify:",only the fee schedule,"who the client is, the role of the practitioner, probable uses of information, and limits of confidentiality","nothing, to preserve spontaneity",only the practitioner's opinion about management,2,"Third-party service arrangements require early clarification of roles, client identity, expected use of information, and confidentiality boundaries.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A practitioner discovers that a colleague may have committed an ethical violation. Which response is most consistent with the Code?,Publicly shame the colleague online,Ignore the issue regardless of potential harm,Consider informal resolution first when appropriate and confidentiality is not violated; report further when substantial harm is likely,File a complaint without evidence,3,"The Code supports addressing possible violations responsibly, beginning with informal resolution when appropriate and escalating when serious harm may result.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Entering a business partnership with a current therapy client would most likely be problematic because it creates:,normative influence,multiple relationship and conflict of interest concerns,formal operational thought,secure attachment,2,"A business partnership with a current client can impair objectivity, blur boundaries, and increase the risk of exploitation.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which practice best reflects informed consent?,Using technical jargon so clients appreciate expertise,"Providing reasonably understandable information about nature, risks, fees, third-party involvement, and limits of confidentiality",Obtaining consent only after the intervention is completed,Skipping assent from minors when possible,2,"Informed consent is valid only when clients receive understandable, relevant information before services begin.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A client requests that a teleassessment feedback session be recorded. The most ethical response is to:,secretly record without discussion,refuse all recordings in every case,"address the request transparently within proper consent, confidentiality, and documentation procedures",send raw data instead of feedback,3,"Recording requests should be managed openly and ethically through proper consent, privacy safeguards, and documentation.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A psychology intern is assigned tasks beyond current competence and without supervision. The supervisor should:,allow independence to build confidence,assign only responsibilities the intern can perform competently with appropriate supervision,avoid documenting delegation,let the intern interpret all tests independently,2,Ethical delegation requires matching duties to the intern's training and ensuring adequate supervision to protect clients and support learning.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A psychologist is required by law to provide emergency assistance in a setting where full services are unavailable. The Code allows the psychologist to:,provide no help at all unless ideal conditions exist,"provide limited emergency services cautiously, then discontinue once emergency ends and arrange appropriate services",begin permanent therapy regardless of competence,ignore referral needs afterward,2,"In emergencies, limited assistance may be ethically provided to prevent harm, but it should end when the crisis ends and be followed by appropriate referral.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
Which action best reflects integrity in professional statements?,Exaggerating success rates to attract clients,Stating credentials and services accurately without deceptive claims,Advertising oneself as an expert in all areas of psychology,Using unverifiable testimonials as proof of scientific validity,2,"Integrity in professional communication requires honesty and accuracy about credentials, competence, and services.",Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
A psychometrician may administer psychological tests:,entirely outside the boundaries of RA 10029 if supervised informally by a friend,"within the legal scope of practice and, when applicable, under supervision of a registered psychologist","only if no psychologist exists in the region, with no limits",only after giving therapy first,2,A psychometrician may administer tests only within the legal scope of practice and subject to proper supervisory and ethical requirements when applicable.,Medium,Developmental Psychology,Chapter 8,Chapter 8 Set 8
