"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"A fetus is most vulnerable to teratogens during the embryonic period because this is when:","organ systems are forming rapidly","reflexes are already well established","fetal learning has reached maturity","language begins to emerge","1","Organogenesis occurs during the embryonic stage, making it highly sensitive to teratogens.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which maternal factor poses a significant prenatal risk because it can directly reduce oxygen available to the fetus?","Moderate exercise","Smoking","Morning sickness","Reading aloud","2","Smoking reduces oxygen supply to the fetus, increasing risk for low birth weight and developmental complications.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which paternal factor has been linked to developmental risk in offspring?","Paternal eye color","Paternal age","Paternal birth order","Paternal handedness only","2","Advanced paternal age is associated with increased risk of genetic mutations affecting development.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"The zygote, embryo, and fetus represent:","psychosocial stages","three phases of prenatal development","three types of twinship","three patterns of temperament","2","Prenatal development progresses through germinal (zygote), embryonic, and fetal stages.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A baby born weighing below 2,500 grams is classified as:","postmature","low birth weight","small-headed","preoperational","2","Low birth weight is defined as less than 2,500 grams at birth.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which newborn assessment primarily evaluates reflexes, muscle tone, color, respiration, and heart rate shortly after birth?","Stanford-Binet","Denver II","Apgar scale","Bayley scale","3","The Apgar scale assesses newborn physical condition immediately after birth.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Cephalocaudal development refers to growth that proceeds:","from the center outward","from head to toe","from toe to head","from the outside inward","2","Cephalocaudal development describes progression from head downward.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"The disappearance of many unused neural connections in early development is called:","habituation","assimilation","synaptic pruning","scaffolding","3","Synaptic pruning eliminates unused neural pathways, improving efficiency.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"According to dynamic systems theory, motor development results from:","maturation alone","reinforcement alone","interaction among neural, muscular, perceptual, and environmental systems","reflex suppression only","3","Motor skills emerge from coordinated interaction of multiple systems.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Piaget's sensorimotor stage is characterized primarily by:","hypothetical reasoning","symbolic algebra","learning through sensory and motor activity","formal moral thinking","3","Infants learn through direct interaction with their environment via senses and actions.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Object permanence refers to understanding that:","moving objects are dangerous","objects continue to exist even when out of sight","all objects have names","symbols and objects are identical","2","Object permanence is a key cognitive milestone in infancy.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Habituation is best defined as:","increased response to a repeated stimulus","decreased response to a familiar repeated stimulus","forming an emotional bond with a caregiver","generalizing from one problem to another","2","Habituation reflects learning by reduced attention to repeated stimuli.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A child calls all four-legged animals ""dog."" This is an example of:","overextension","underextension","telegraphic speech","fast mapping","1","Overextension occurs when a word is applied too broadly.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Noam Chomsky is best known for proposing that:","language is learned only through imitation","language development depends on a biologically based capacity","moral development proceeds in stages","attachment develops through reinforcement","2","Chomsky proposed an innate language acquisition mechanism.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which finding best supports a social-contextual view of language development?","Language emerges without any social input.","Caregiver-child interaction helps shape language growth.","Vocabulary growth depends only on maturation.","Syntax appears suddenly and independently of experience.","2","Social interaction plays a critical role in language acquisition.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In classical conditioning, learning occurs when:","a behavior is strengthened by its consequences","two stimuli become associated","an infant mentally represents an object","a child imitates a model for reward","2","Classical conditioning involves forming associations between stimuli.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Erikson described the central psychosocial task of infancy as:","autonomy versus shame and doubt","trust versus mistrust","initiative versus guilt","identity versus role confusion","2","Infants develop trust when caregivers are reliable and responsive.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Ainsworth's ""securely attached"" infant is most likely to:","ignore the caregiver upon reunion","show little distress at separation and avoid contact on reunion","seek contact with the caregiver and be comforted at reunion","display disorganized and contradictory behavior only","3","Secure attachment is characterized by comfort and trust in the caregiver.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Temperament refers to:","learned moral standards","biologically based individual differences in emotional reactivity and self-regulation","stable intelligence across the life span","attachment to siblings","2","Temperament reflects innate differences in emotional style.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Social referencing occurs when an infant:","names familiar objects","uses another person's emotional reaction to guide behavior","shows object permanence","imitates sounds without meaning","2","Infants look to caregivers' cues to interpret unfamiliar situations.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"The emergence of autonomy in toddlerhood is most closely linked to:","shame over fantasy play","efforts at self-control and independent action","mastery of formal logic","pubertal timing","2","Toddlers strive for independence and self-regulation.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Nonorganic failure to thrive is most strongly associated with:","inherited endocrine disease only","severe neglect and disturbed caregiving","early symbolic play","excessive peer contact","2","It often results from emotional and environmental deprivation.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In Piaget's theory, preoperational children are especially likely to show:","reversible thinking","egocentrism and centration","formal operational logic","abstract propositional reasoning","2","Preoperational thought is limited by inability to consider multiple perspectives.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Conservation tasks assess whether children understand that:","all people think the same way","quantity remains the same despite changes in appearance","rules should never be broken","memory is permanent","2","Conservation reflects logical reasoning about physical properties.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Theory of mind refers to understanding that:","the brain stops developing in early childhood","people have mental states that may differ from reality and from one another","children cannot deceive before adolescence","language causes intelligence","2","Theory of mind involves understanding beliefs, intentions, and perspectives.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Vygotsky would most likely emphasize that cognitive growth is promoted by:","solitary discovery without adult guidance","guided participation and scaffolding","maturation independent of culture","fixed IQ potential","2","Learning occurs through social interaction and support.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Private speech in early childhood is best understood as:","evidence of pathology","immature babbling without function","a self-guiding tool for thought and behavior","refusal to socialize","3","Private speech helps children regulate their thinking and guide their actions during problem-solving.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which parenting style is generally linked with the most favorable developmental outcomes?","Authoritarian","Neglectful","Permissive","Authoritative","4","Authoritative parenting combines warmth and firm control, promoting competence and self-regulation.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Erikson's central conflict of early childhood is:","trust versus mistrust","autonomy versus shame and doubt","initiative versus guilt","industry versus inferiority","3","Children begin to assert control and take initiative in activities during early childhood.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"According to cognitive developmental views of gender, children actively:","construct an understanding of gender categories","inherit all gender-role preferences directly","ignore social information about gender","stop play once gender constancy develops","1","Children actively organize and interpret gender-related information through cognitive processes.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Parten's category of cooperative play involves:","solitary manipulation of objects","parallel activity without interaction","organized play with shared goals","watching others without joining","3","Cooperative play involves interaction and coordination with peers toward a common objective.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In middle childhood, concrete operational thought allows children to:","reason abstractly about hypothetical propositions","think only in symbolic images","perform mental operations on concrete objects and events","abandon classification skills","3","Children develop logical thinking tied to real-world objects and situations.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Executive functioning includes:","puberty and hormonal regulation","planning, inhibitory control, and working memory","sensory thresholds only","attachment security alone","2","Executive functions are higher-order cognitive processes involved in self-regulation.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Metamemory is:","memory loss caused by stress","memory for motor skills","knowledge about how memory works","unconscious recall of infancy","3","Metamemory involves awareness and understanding of memory processes.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Sternberg's triarchic theory highlights:","id, ego, and superego","practical, analytical, and creative aspects of intelligence","crystallized intelligence only","reinforcement schedules","2","Sternberg proposed three types of intelligence: analytical, creative, and practical.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Children with learning disabilities typically:","have uniformly low intelligence across all areas","show specific difficulties in academic processing despite otherwise adequate opportunity to learn","cannot benefit from intervention","always have sensory impairment","2","Learning disabilities involve specific deficits, not global intellectual impairment.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Erikson's central issue in middle childhood is:","identity versus role confusion","industry versus inferiority","generativity versus stagnation","ego integrity versus despair","2","Children strive to develop competence and skills valued by society.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Co-regulation in middle childhood refers to:","complete parental control","shared regulation in which children gain autonomy while parents continue guidance","peer enforcement of classroom rules","emotional dependence on siblings only","2","Co-regulation reflects gradual transfer of responsibility from parent to child.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which child is at greatest risk for peer rejection?","A cooperative child who shares","A child who displays hostile attribution bias and aggressive behavior","A child who enjoys reading alone at times","A child with average athletic skill","2","Aggressive behavior and misinterpreting others' intentions increase rejection risk.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Bullying is best distinguished from ordinary conflict by the presence of:","accidental harm only","imbalance of power and repeated aggression","verbal disagreement","sibling rivalry","2","Bullying involves repeated harm and a power imbalance.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Puberty begins with:","mastery of conservation","activation of hormonal processes leading to sexual maturation","onset of formal operations","completion of brain myelination","2","Puberty is triggered by hormonal changes that lead to physical maturation.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which adolescent is most likely to experience stress related to pubertal timing?","A boy maturing somewhat earlier than peers, with supportive peers","A girl maturing much earlier than peers in a sexualized peer environment","A boy with average pubertal timing","A girl whose puberty begins within the typical range and with strong support","2","Early maturation in girls is linked to higher psychosocial risks.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Piaget's formal operational stage is marked by the capacity for:","object permanence","abstract and hypothetical reasoning","stranger anxiety","conservation of liquid only","2","Adolescents develop the ability to think abstractly and logically.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Adolescent egocentrism may be expressed in the:","zone of proximal development","imaginary audience and personal fable","secure base phenomenon","social clock","2","Adolescents may believe others are constantly watching them and that their experiences are unique.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Kohlberg's theory focuses on development of:","attachment","moral reasoning","psychosexual identity","motor coordination","2","Kohlberg studied how individuals reason about moral dilemmas.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Gilligan argued that some moral reasoning is better understood through an emphasis on:","operant conditioning","care and relationships","object permanence","fluid intelligence","2","Gilligan emphasized an ethic of care rather than justice alone.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Marcia's identity status characterized by exploration without commitment is:","foreclosure","achievement","moratorium","diffusion","3","Moratorium involves active exploration of identity options without firm commitment.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"An adolescent who adopts parental values without personal exploration is in:","foreclosure","moratorium","achievement","diffusion","1","Foreclosure reflects commitment made without prior exploration.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement about adolescent-parent relations is most accurate?","Severe rebellion is universal and inevitable.","Most adolescent-parent conflict centers on everyday issues rather than core values.","Adolescents function best without parental monitoring.","Identity formation requires total emotional separation from family.","2","Research shows that conflict is typically mild and related to daily matters.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Juvenile delinquency is best understood as:","purely genetic in origin","the product of interacting biological, family, peer, and community influences","caused only by low intelligence","an unavoidable feature of adolescence","2","Delinquency results from multiple interacting risk factors.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Emerging adulthood is often characterized by:","immediate assumption of stable adult roles by all individuals","identity exploration and instability in love, work, and worldview","complete dependence on parents without change","decline in cognitive capacity","2","Emerging adulthood involves exploration before stable commitments.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Postformal thought is often described as:","rigid and absolutist","reflective, practical, and able to tolerate ambiguity","limited to adolescence","equivalent to sensorimotor thought","2","Postformal thinking integrates logic with real-world complexity.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Schaie proposed that adult cognitive development includes a shift toward using intellect for:","sensorimotor adaptation","practical goals and life demands","stranger wariness","conservation tasks","2","Adults use cognition to meet real-life responsibilities and challenges.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Sternberg's view of successful intelligence particularly values:","memorization alone","adaptation to, shaping of, and selection of environments","repression of emotion","unconscious conflict resolution","2","Successful intelligence involves adapting to and influencing one's environment.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In emerging adulthood, intimacy is most likely to develop successfully after progress in:","basic reflexes","object permanence","identity formation","menopause","3","A stable identity supports the development of close relationships.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement about marriage and cohabitation is most accurate?","All cohabiting relationships are unstable and identical.","Relationship outcomes vary according to commitment, context, and life circumstances.","Marriage guarantees psychological well-being.","Cohabitation eliminates all risk for breakup.","2","Relationship success depends on various personal and contextual factors.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Generativity in midlife refers primarily to:","regret over lost youth","concern for guiding the next generation and contributing to society","withdrawal from all social roles","fear of death","2","Generativity involves productivity and concern for future generations.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement best reflects current views of the midlife crisis?","It is universal and biologically inevitable.","It is a myth with no basis in experience.","It may occur for some individuals, but it is not a normative experience for all.","It occurs only in men.","3","Midlife crisis is not universal but may occur depending on circumstances.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Fluid intelligence generally:","increases steadily across all of adulthood","involves accumulated knowledge and often remains more stable than speeded problem solving","is identical to crystallized intelligence","disappears by late adulthood","2","While fluid intelligence declines, knowledge-based abilities tend to remain stable.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Crystallized intelligence is best described as:","speed of novel information processing","acquired knowledge and verbal skill","infant reflex functioning","hormonal adaptation to stress","2","Crystallized intelligence reflects accumulated knowledge and experience.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"The ""empty nest"" is most accurately viewed as:","uniformly devastating for all parents","often stressful but also potentially associated with renewed flexibility and satisfaction","evidence of failed attachment","irrelevant to marital relationships","2","Parents may experience both loss and new opportunities.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which midlife adult best exemplifies filial maturity?","A son who expects his aging parent to remain fully dependent","A daughter who recognizes her aging parent as a separate adult with strengths and limitations","A parent who refuses all contact with siblings","An adult child who infantilizes an older parent","2","Filial maturity involves understanding parents as independent individuals.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Age-related declines in late adulthood are:","identical across all individuals","uniform across all abilities","variable and influenced by health, education, lifestyle, and context","unrelated to environment","3","Aging varies widely among individuals.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which is most characteristic of dementia?","Normal age-related slowing only","Severe progressive impairment in cognitive functioning that interferes with daily life","Temporary adolescent confusion","Stable personality style","2","Dementia significantly impairs daily functioning.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Selective optimization with compensation means older adults:","avoid all goals to reduce frustration","focus on valued goals, maximize strengths, and compensate for losses","inevitably disengage from society","rely only on family for functioning","2","Older adults adapt by optimizing strengths and compensating for decline.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Erikson's final psychosocial conflict is:","initiative versus guilt","intimacy versus isolation","generativity versus stagnation","ego integrity versus despair","4","Older adults evaluate life with acceptance or regret.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement best reflects continuity theory in aging?","Older adults function best when all past roles are abandoned.","Adaptation is promoted by maintaining patterns of behavior, values, and relationships that are meaningful.","Retirement inevitably leads to despair.","Aging is determined only by genetic programming.","2","Continuity theory emphasizes consistency in behavior and identity.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Widowhood in late adulthood is best understood as:","a brief and uniform process of grief","a major life transition shaped by relationship quality, health, support, gender, and culture","always more difficult than losing a child","unrelated to identity","2","Widowhood varies depending on multiple personal and contextual factors.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement about bereavement is most accurate?","All mourners pass through identical stages in fixed order.","Grief responses vary considerably across persons and cultures.","Healthy grief lasts no more than two weeks.","Continuing bonds always indicate pathology.","2","Grief is individualized and culturally influenced.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Ambiguous loss is especially difficult because:","it is always associated with criminal behavior","the loss lacks clarity or closure","it applies only to children","it is resolved through standard testing","2","Ambiguous loss creates uncertainty and complicates grieving.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which adult loss is often underestimated socially despite its psychological significance?","Losing a pen","Mourning a miscarriage","Missing one class","Relocating for work","2","Miscarriage grief is often unrecognized but deeply impactful.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A life review in late adulthood may promote:","sensorimotor adaptation","ego integrity and meaning-making","role confusion","stranger anxiety","2","Reflecting on life helps older adults achieve acceptance and coherence.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"In a right-to-die case, the most ethically sound first step for a psychologist asked for an opinion on decisional capacity is to:","give an immediate opinion based on family report alone","refuse automatically because death-related cases are always unethical","conduct or recommend adequate assessment within one's competence and clarify the limits of one's role","rely solely on personal beliefs about euthanasia","3","Ethical practice requires competence, proper assessment, and role clarification.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Under the PAP Code of Ethics, only licensed and registered psychologists and psychometricians are legally allowed to practice their profession, and practice must remain:","within media popularity","within boundaries prescribed by law and competence","limited to hospital settings","free from documentation requirements","2","Practice must comply with legal scope and professional competence under RA 10029.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A psychometrician is asked by a school to provide psychotherapy to a depressed student. The most appropriate response is to:","begin therapy immediately to avoid delay","provide therapy only if the student consents","decline the therapy role and facilitate referral, since psychometricians are prohibited from the practice of therapy except in emergencies","offer therapy if supervised by a teacher","3","RA 10029 limits psychometricians' scope; therapy is not within their independent practice.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which situation best reflects proper delegation of work?","Delegating test interpretation to an untrained clerk because the office is busy","Delegating tasks only to persons competent to perform them, with appropriate supervision","Letting a parent administer a psychological test at home for convenience","Allowing any staff member to score projective tests without training","2","Ethical delegation requires competence and supervision.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A practitioner becomes aware that personal stress is seriously impairing professional judgment. The most ethical action is to:","continue working to avoid disappointing clients","hide the difficulty and make no changes","seek consultation or assistance and consider limiting, suspending, or terminating affected duties","transfer all confidential files to a friend","3","Ethical standards require addressing impairment to prevent harm.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which action best protects confidentiality in telepsychology?","Using open public Wi-Fi without safeguards","Discussing cases loudly in shared public spaces","Using secure systems and informing clients of privacy risks in electronic transmission","Recording all sessions without consent","3","Confidentiality must be protected through secure communication and informed consent.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A psychologist receives a third-party request from an employer to assess an employee. At the outset, the psychologist should clarify:","that confidentiality is unlimited in all circumstances","only the fee arrangement","the role, who the client is, probable uses of the information, and limits of confidentiality","that the employer automatically owns all raw data","3","Ethical practice requires clear role definition and disclosure of limits.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Under the ethics code, test data such as raw scores and notes should:","always be posted to the client's family group chat","be released freely upon verbal request","not be released to unauthorized persons; raw data are generally not released except when regulated by the court","be shared with teachers without restriction","3","Confidentiality and test security must be maintained.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which practice is most consistent with ethical assessment?","Using obsolete tests if they are familiar","Administering photocopied test materials to save money","Selecting valid, reliable, appropriate instruments relevant to the referral question","Interpreting scores without considering cultural and situational factors","3","Ethical testing requires valid tools and proper application.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A psychometrician is asked to administer assessment tools independently in a setting where supervision by a registered psychologist is applicable. The most ethical course is to:","proceed independently because administration is always unrestricted","proceed only within RA 10029 boundaries and under required supervision","refuse all assessment work permanently","release test protocols to prove transparency","2","Psychometricians must follow supervision requirements under RA 10029.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A client refuses further therapy after three sessions. Ethically, the therapist should:","insist that termination is not the client's choice","respect the client's right to withdraw and discuss appropriate next steps","threaten disclosure to family","continue billing for unfinished treatment automatically","2","Clients have the right to terminate services at any time.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"Which statement best reflects the ethics code on multiple relationships?","They are always harmless if both parties agree.","They should be avoided when they may impair objectivity, competence, or effectiveness, or risk exploitation or harm.","They are prohibited only in schools.","They are acceptable whenever therapy is brief.","2","Dual relationships are discouraged when they pose risks to professionalism and client welfare.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"During a timed teleassessment, the internet connection repeatedly fails. The most ethical response is to:","ignore the disruption and interpret results as fully equivalent","continue while blaming the client","consider the impact of connectivity on performance and address limitations in interpretation or reschedule as needed","report only percentile ranks without comment","3","Assessment validity must be protected by addressing technical limitations.","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
"A colleague appears to have committed an ethical violation that may substantially harm a client. According to the code, the psychologist should:","ignore it to preserve collegiality","gossip about it informally","take appropriate action, which may include reporting to proper authorities if substantial harm is likely","post concerns publicly on social media first","3","Ethical responsibility includes addressing violations that may harm clients. DEVELOPMENTAL PSYCHOLOGY EXAM 3","Medium","Developmental Psychology","Chapter 2 Set 2","Chapter 2 Set 2"
