Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
A newborn's score on the Apgar scale is used primarily to:,diagnose intellectual disability,assess immediate adaptation to extrauterine life,measure attachment security,predict long-term personality,2,"The Apgar scale evaluates newborn condition immediately after birth, including respiration, heart rate, reflexes, tone, and color.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
The tendency for development to proceed from the head downward is called:,proximodistal development,cephalocaudal development,epigenesis,differentiation,2,Cephalocaudal development describes the principle that growth and motor control proceed from head to lower body.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"An infant repeatedly drops a spoon from a high chair and watches a parent retrieve it. In Piaget's sensorimotor framework, this behavior most clearly reflects:",object permanence,deferred imitation,tertiary circular reactions,social referencing,3,Tertiary circular reactions involve deliberate experimentation with actions to observe new outcomes.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"If an infant becomes less responsive to a repeated stimulus and then shows renewed attention when a new stimulus is presented, the infant has demonstrated:",conservation,habituation and dishabituation,imprinting,overregularization,2,"Habituation is decreased response to repeated stimulation, while dishabituation is renewed attention to a novel stimulus.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which theorist most strongly emphasized the role of social interaction and guided participation in cognitive development?,Piaget,Vygotsky,Freud,Gesell,2,"Vygotsky stressed the importance of social interaction, guided participation, and cultural tools in cognitive growth.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A toddler calls all four-legged animals ""dog."" This error is best described as:",fast mapping,underextension,overextension,telegraphic speech,3,Overextension occurs when a child applies a word too broadly to objects beyond its correct category.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Erikson, the central psychosocial task of infancy is:",autonomy versus shame and doubt,trust versus mistrust,initiative versus guilt,industry versus inferiority,2,Erikson proposed that infancy centers on developing basic trust through consistent and responsive care.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In Ainsworth's Strange Situation, a securely attached infant is most likely to:",ignore the caregiver completely upon reunion,show distress at separation and seek comfort at reunion,resist contact and simultaneously seek it in a confused way,remain equally friendly to the stranger and caregiver,2,"Securely attached infants use the caregiver as a safe base, become distressed by separation, and are comforted upon reunion.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Social referencing refers to:,learning by imitation without understanding,using another person's emotional reaction to guide one's own behavior,confusing self with others in early infancy,showing stranger anxiety in unfamiliar settings,2,Social referencing occurs when children look to another person's emotional cues to decide how to respond in uncertain situations.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A toddler who insists on saying ""Me do it!"" is showing the developmental push toward:",initiative,intimacy,autonomy,generativity,3,This behavior reflects the toddler's growing need for self-control and independent action.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Preoperational thought is characterized by:,abstract hypothetico-deductive reasoning,mental operations involving reversibility and conservation,symbolic thinking but limited logical operations,formal scientific problem solving,3,Preoperational children use symbols and language but still lack mature logical operations such as conservation.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A child sees a taller, narrower glass as having more liquid than a shorter, wider one, despite seeing the same liquid poured between them. This illustrates lack of:",object permanence,class inclusion,conservation,seriation,3,Conservation is the understanding that quantity remains the same despite changes in shape or appearance.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
The ability to understand that others can hold beliefs different from one's own is called:,private speech,theory of mind,social learning,reciprocal determinism,2,"Theory of mind is the capacity to understand that other people have separate beliefs, intentions, and perspectives.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Vygotsky, the range between what a child can do alone and what the child can do with help is the:",accommodation zone,latent learning field,zone of proximal development,scaffold interval,3,The zone of proximal development refers to the gap between independent performance and performance possible with guidance.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which parenting style is generally associated with the most favorable developmental outcomes in early childhood?,authoritarian,authoritative,permissive,neglectful,2,"Authoritative parenting combines warmth and firm control, which tends to promote competence, self-regulation, and social adjustment.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In Erikson's theory, a preschool child's major psychosocial challenge is:",trust versus mistrust,autonomy versus shame and doubt,initiative versus guilt,identity versus role confusion,3,Preschool children develop initiative as they begin purposeful activity and role exploration.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Parten's category of play in which children play near one another with similar materials but without true interaction is:,cooperative play,associative play,parallel play,onlooker play,3,Parallel play involves playing alongside other children without organized interaction.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A parent explains to a child, ""How would you feel if someone grabbed your toy?"" This discipline approach primarily promotes:",external compliance through fear,inductive discipline and empathy,learned helplessness,permissiveness,2,"Inductive discipline encourages children to understand the effects of their actions on others, which fosters empathy and internalization.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"Compared with early childhood, children in middle childhood are more likely to:",rely entirely on perception,understand conservation and classification,show no improvement in selective attention,lose all egocentric tendencies immediately,2,"Middle childhood is associated with concrete operational thought, including conservation and classification skills.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A school-age child organizes colored blocks first by shape and then by size. This best demonstrates:,centration,seriation,transduction,animism,2,Seriation is the ability to arrange objects in a logical order according to a dimension such as size.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Knowledge about memory processes and strategies is called:,metamemory,eidetic memory,implicit memory,rehearsal deficit,1,Metamemory refers to awareness and understanding of how memory works and how it can be improved.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A child who remembers a spelling list by using the first letters to make a phrase is using:,accommodation,a mnemonic strategy,social referencing,symbolic function,2,A mnemonic strategy is a deliberate memory aid that helps organize and retrieve information.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Sternberg's triarchic theory suggests that traditional school tasks emphasize mainly:,practical intelligence only,analytical intelligence,emotional intelligence,kinesthetic intelligence,2,"Traditional academic tasks usually reward analytical skills such as evaluating, comparing, and solving structured problems.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A child's belief that ""I am good at math but not very good at drawing"" illustrates:",global self-esteem only,differentiated self-concept,identity foreclosure,personal fable,2,"In middle childhood, children begin describing themselves in specific domains rather than only in global terms.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Erikson, the major psychosocial issue of middle childhood is:",industry versus inferiority,initiative versus guilt,integrity versus despair,intimacy versus isolation,1,School-age children focus on mastering valued skills and developing a sense of competence.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A child rejected by peers because the child often interprets ambiguous acts as hostile is showing:,social facilitation,hostile attribution bias,moral realism,selective optimization,2,Hostile attribution bias is the tendency to assume that unclear social actions are intended to be harmful.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which statement about puberty is most accurate?,It begins at the same chronological age for all adolescents.,It consists only of visible physical changes.,It involves hormonal changes that trigger sexual maturation.,It marks the end of brain development.,3,Puberty is driven by hormonal processes that initiate physical and reproductive maturation.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Imaginary audience and personal fable are commonly associated with:,sensorimotor thought,concrete operational thought,adolescent egocentrism,postformal thought,3,These patterns reflect adolescents' heightened self-consciousness and belief in their uniqueness.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Piaget's formal operational stage is characterized by the ability to:,understand object permanence,reason hypothetically and systematically,conserve quantity through direct manipulation only,engage only in trial-and-error problem solving,2,Formal operational thinking includes abstract reasoning and systematic hypothesis testing.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Kohlberg, moral reasoning at the conventional level is based primarily on:",avoidance of punishment only,self-interest only,conformity to social expectations and rules,universal ethical principles,3,"Conventional morality centers on gaining approval, maintaining relationships, and obeying laws and social order.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Gilligan argued that Kohlberg's theory underemphasized:,justice,care and responsibility in moral reasoning,cognitive development,reinforcement history,2,"Gilligan proposed that moral reasoning also includes an ethic of care, not only justice-based principles.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which adolescent is most likely to be in identity moratorium?,one who has made commitments without exploring alternatives,one who is exploring options but has not yet committed,one who shows neither exploration nor commitment,one who has committed after active exploration,2,Moratorium is defined by active exploration without firm commitment.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Erikson, successful resolution of the adolescent identity crisis leads to the virtue of:",hope,will,fidelity,wisdom,3,Fidelity is the virtue that emerges when adolescents form a stable and coherent sense of identity.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Marcia's identity status characterized by commitment without prior exploration is:,diffusion,foreclosure,moratorium,achievement,2,Foreclosure occurs when a person commits to roles or beliefs without seriously exploring alternatives.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which family pattern is most consistently associated with healthier adolescent adjustment?,no parental monitoring at all,rigid control with no warmth,warm relationships with appropriate monitoring,complete peer-guided autonomy,3,Adolescents tend to function best when parents combine emotional support with appropriate supervision.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Juvenile delinquency is best understood as:,caused entirely by biology,caused entirely by parenting,"influenced by interacting biological, family, peer, and community factors",a normal and necessary phase of adolescence,3,Delinquency is a multidetermined outcome shaped by the interaction of several personal and environmental influences.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
The term emerging adulthood refers to:,the transition from infancy to toddlerhood,a distinct period marked by exploration and instability between adolescence and settled adult roles,the onset of menopause,the final stage of Erikson's theory,2,"Emerging adulthood is characterized by identity exploration, instability, and delayed assumption of enduring adult roles.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
One hallmark of adult cognition beyond adolescence is the growing ability to:,eliminate all contradictions from thought,think only in absolute terms,integrate logic with experience and emotion,reject relativistic thinking completely,3,"Adult cognition often becomes more flexible and realistic by combining logic, experience, and emotional understanding.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Sternberg used the term tacit knowledge to refer to:,genetic knowledge present at birth,information not formally taught but useful for getting ahead,explicit memory for school subjects,unconscious conflict material,2,Tacit knowledge refers to practical know-how gained informally through experience.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Emotional intelligence refers to the capacity to:,solve abstract equations rapidly,memorize large amounts of information,understand and regulate emotions effectively,ignore emotions in decision making,3,"Emotional intelligence involves perceiving, understanding, and managing emotions in oneself and others.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In emerging adulthood, intimate relationships are generally healthiest when they are based on:",identity diffusion and dependence,"mutuality, communication, and commitment",avoidance of self-disclosure,role confusion,2,"Healthy intimate relationships are grounded in reciprocity, openness, trust, and stable commitment.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"According to Erikson, failure to establish close reciprocal relationships in young adulthood risks:",stagnation,despair,isolation,inferiority,3,"In Erikson's theory, the unresolved outcome of the intimacy versus isolation stage is social and emotional isolation.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which statement best reflects current views of marriage in emerging adulthood?,Marriage universally occurs at the same age.,"Entry into marriage varies with culture, economics, and personal goals.",Marriage is no longer relevant to development.,Marriage always decreases stress regardless of relationship quality.,2,"Marriage patterns differ widely depending on social context, values, resources, and life planning.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Parenthood is best understood as:,purely a biological event with no psychological meaning,uniformly beneficial for all couples at all times,"a developmental experience shaped by readiness, support, and context",unrelated to identity or role change,3,"Parenthood affects roles, identity, relationships, and adjustment, and its meaning varies across life circumstances.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In middle adulthood, fluid intelligence generally:",rises sharply into late life,remains completely unchanged,tends to decline more than crystallized intelligence,becomes the same as tacit knowledge,3,"Fluid intelligence, especially speed and novel problem-solving ability, tends to decrease earlier than accumulated knowledge.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Crystallized intelligence refers primarily to:,speed of processing novel information,accumulated knowledge and verbal skills,sensory acuity,motor coordination,2,"Crystallized intelligence reflects learning, vocabulary, and experience-based knowledge.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Expertise in middle adulthood often compensates for declines in:,moral reasoning,all forms of memory,processing speed in specific domains,personality stability,3,Expertise allows adults to perform effectively despite slower basic processing through experience and efficient strategies.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"Which statement is most consistent with current evidence on the ""midlife crisis""?",It is universal and biologically inevitable.,It is a myth with no basis in any individual experience.,It may occur for some individuals but is not a normative universal crisis.,It occurs in all adults exactly between ages 40 and 45.,3,"Research does not support the idea that all adults experience a standard midlife crisis, although some individuals do.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Erikson described the major psychosocial task of middle adulthood as:,intimacy versus isolation,generativity versus stagnation,industry versus inferiority,identity versus confusion,2,"Middle adulthood emphasizes productivity, care, and contribution to the next generation and society.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Generativity is best defined as:,withdrawal from social responsibility,concern for guiding the next generation and contributing to society,exclusive focus on personal achievement,fear of death and loss,2,"Generativity includes mentoring, parenting, teaching, and contributing to the broader community.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"The ""empty nest"" is best viewed as:",always a severe psychological crisis,"a transition whose effects vary by relationship quality, culture, and personal meaning",proof of failed parenting,irrelevant to middle adulthood,2,The empty nest is a developmental transition with varied outcomes depending on context and interpretation.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Caring simultaneously for one's children and aging parents is commonly termed:,kin selection,social convoy,sandwich generation,filial diffusion,3,The sandwich generation refers to adults who are responsible for both younger and older family members at the same time.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In late adulthood, sensory and psychomotor changes most commonly involve:",dramatic gains in visual acuity,complete loss of learning capacity,"gradual decline in vision, hearing, balance, and reaction speed",identical changes in all older adults,3,"These age-related changes are common in late adulthood, though the extent varies across individuals.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which theory proposes that aging results partly from accumulated cellular damage caused by unstable oxygen molecules?,programmed senescence theory,free-radical theory,attachment theory,activity theory,2,Free-radical theory explains aging partly in terms of cumulative damage caused by unstable oxygen molecules.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Reserve capacity refers to:,excess money saved for retirement,the body's and brain's built-in ability to endure stress before impairment becomes evident,stored unconscious conflict,a type of crystallized intelligence,2,Reserve capacity refers to functional resilience that allows individuals to cope with stress and loss before obvious decline appears.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which cognitive ability is most likely to remain relatively strong in healthy older adults?,speed of processing,working memory under heavy load,semantic knowledge,divided attention,3,"Semantic knowledge, including vocabulary and general information, is often well maintained in healthy aging.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Wisdom in late adulthood is best described as:,rote recall of facts,practical insight about life matters with judgment and reflection,simple processing speed,absolute moral certainty,2,"Wisdom involves reflective judgment, deep understanding, and practical insight into important life issues.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Erikson's final psychosocial conflict is:,intimacy versus isolation,generativity versus stagnation,ego integrity versus despair,trust versus mistrust,3,"In late adulthood, individuals evaluate their lives and either reach acceptance or experience regret and despair.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Selective optimization with compensation refers to:,choosing random activities after retirement,maximizing performance by focusing on priorities and compensating for losses,withdrawing from society to preserve energy,depending exclusively on others for functioning,2,"This model explains how older adults adapt by selecting goals, optimizing strengths, and compensating for decline.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which statement best reflects continuity theory in aging?,Older adults function best when they radically abandon past habits.,Adjustment is aided by maintaining patterns of behavior and identity over time.,Aging is best understood as inevitable disengagement.,Social support becomes unimportant in old age.,2,"Continuity theory proposes that adaptation in old age is enhanced by preserving consistent habits, values, and roles.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Widowhood in late adulthood is best understood as:,a uniform experience with identical outcomes,"a transition shaped by health, finances, social support, and prior relationship quality",easier for everyone than divorce,unrelated to mental health risk,2,"Adjustment to widowhood varies widely depending on personal, social, and economic circumstances.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Elder abuse includes:,only physical violence,only financial exploitation,"physical, emotional, sexual, neglectful, and financial mistreatment",only abuse committed by strangers,3,"Elder abuse encompasses multiple forms of harm and exploitation, not just one type.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Contemporary views of grief are most consistent with the idea that:,all bereaved persons progress through identical fixed stages,"grief shows multiple patterns and is shaped by relationship, context, and culture",healthy grieving requires immediate detachment from the deceased,absence of crying always indicates pathology,2,Current grief models emphasize variability rather than one universal sequence of responses.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A person whose spouse has dementia and is psychologically absent but physically present may experience:,resilience,ambiguous loss,anticipatory socialization,selective compensation,2,Ambiguous loss occurs when a loved one is physically present but psychologically altered or unavailable.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"Compared with younger children, adolescents' understanding of death is generally:",less abstract and less emotionally nuanced,more likely to include abstract and existential concerns,limited to magical thinking only,unrelated to identity issues,2,"Adolescents' more advanced cognition allows them to think about death in abstract, existential, and personal terms.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A life review in late adulthood often serves the developmental function of:,increasing egocentrism,supporting ego integrity and meaning-making,eliminating all regret,reversing cognitive decline,2,Life review helps older adults integrate their experiences and find coherence and meaning in their lives.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which is the clearest example of passive euthanasia?,administering a lethal injection,prescribing medication specifically to cause death,withholding or withdrawing extraordinary life-sustaining treatment,falsifying a death certificate,3,Passive euthanasia involves allowing death to occur by not starting or continuing extraordinary life-prolonging measures.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A developmental psychologist working with bereaved parents should remember that:,there is a single normal timetable for recovery,parental grief is usually brief,"the death of a child often carries profound, long-lasting meaning consequences",parents should avoid talking about the deceased child,3,The loss of a child is often one of the most devastating forms of bereavement and may have enduring psychological effects.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A psychometrician is asked by a school principal to interpret a child's test protocol independently and recommend psychotherapy. Under RA 10029-linked ethical limits, the best action is to:",comply because school authorities requested it,interpret the test and begin therapy if the parents agree,work within psychometrician boundaries and refer/supervise through a registered psychologist,refuse all further involvement in the case,3,"RA 10029 limits psychometricians to their lawful scope, so independent interpretation beyond role and psychotherapy require referral or supervision by a licensed psychologist.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which ethical principle most directly requires psychology practitioners to obtain free and informed consent and protect confidentiality?,respect for the dignity of persons and peoples,industry versus inferiority,disengagement theory,psychometric standardization,1,"This ethical principle includes respect for autonomy, privacy, informed consent, and protection of confidential information.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A client discloses information during telepsychology. Ethically, the practitioner should:",assume online sessions are exempt from ordinary ethical rules,apply the same ethical principles as face-to-face work and discuss privacy risks,record the session automatically without discussion,email confidential files without safeguards if the client seems comfortable,2,"Telepsychology is governed by the same ethical standards as in-person work, with additional attention to privacy and security risks.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"When providing services to a minor who cannot legally give full informed consent, the practitioner should:",ignore the child's preferences because only the guardian matters,"obtain assent when appropriate, consider the child's welfare, and obtain permission from a legally authorized person",proceed without explanation if the service is beneficial,rely only on school consent,2,"Ethical practice requires protecting the rights and welfare of vulnerable persons through assent, proper explanation, and lawful substitute consent.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which action best reflects the ethical standard on boundaries of competence?,Accepting any case to gain experience,"Providing services only within one's education, training, supervised experience, and competence",Using unfamiliar tests without studying them if time is limited,Avoiding referrals so clients stay within one facility,2,Ethical competence requires practitioners to work only within areas for which they are adequately prepared.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A psychometrician in training is delegated test administration by a supervisor. Ethical delegation requires that:,any staff member may interpret results if they observed testing,delegated tasks match the trainee's competence and level of supervision,the client need not be informed that tasks are delegated,supervision is optional if the trainee has a manual,2,Delegation is ethical only when responsibilities are appropriate to training and supported by sufficient supervision.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A psychology practitioner becomes aware that personal distress is impairing professional judgment. The most ethical response is to:,continue services to avoid disappointing clients,conceal the problem from everyone,"obtain consultation or assistance and determine whether duties should be limited, suspended, or terminated",rely on experience alone and ignore self-care,3,Ethical practice requires self-monitoring and corrective action when personal problems interfere with competent service.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A practitioner is asked by an employer to evaluate an employee referred by management. At the outset, the practitioner should clarify:",only the employee's diagnosis,"who the client is, the evaluator's role, probable uses of the information, and limits of confidentiality",only the employer's expectations,only the fee schedule,2,Third-party service requests require clear role definition and transparency about information use and confidentiality limits.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which situation is the clearest example of a harmful multiple relationship?,Conducting one scheduled assessment session with a referred client,Becoming a business partner of a current therapy client,Consulting another professional about a case with appropriate safeguards,Providing crisis referral information in an emergency,2,"A business relationship with a current client risks impaired objectivity, exploitation, and harm.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which action best protects confidentiality in reports or consultations?,Sharing all background details to make the case interesting,Limiting disclosure to information relevant to the professional purpose,Posting anonymized-looking details on social media without consent,Discussing cases freely with friends who are curious,2,Confidentiality is best protected by disclosing only the minimum information necessary for the legitimate professional purpose.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A psychometrician is asked to conduct psychotherapy for a distressed test-taker because the psychologist is unavailable. The most ethical response is:,provide therapy because prior test contact is sufficient,provide therapy only if the client insists,"recognize that psychometricians are prohibited from practicing therapy except in emergencies, and then only within emergency limits with proper referral",accept the role if no written complaint is expected,3,"Psychometricians must remain within legal and ethical scope, and therapy is outside ordinary practice except within narrow emergency conditions.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which statement is most consistent with the ethical standard on assessment by unqualified persons?,Test materials may be shared widely if the purpose is educational.,Assessment tools may be promoted for routine use by unqualified persons.,Test protocols and interpretations must be secured from unqualified persons.,Anyone may interpret a protocol if the raw score is available.,3,Ethical standards require restricting test materials and interpretations to qualified professionals to prevent misuse and harm.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A researcher becomes aware that another practitioner may have violated the code but believes an informal discussion could correct the problem without breaching confidentiality. The most ethical first step is to:,post the concern publicly online,attempt informal resolution when appropriate,file a complaint without evidence,ignore the issue because only committees may act,2,"When suitable and confidentiality is not violated, informal resolution is the proper initial response to a possible ethical concern.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which response best reflects ethics when law and the code appear to conflict?,Ignore both the law and the code.,"First try to resolve the conflict while remaining committed to the code; if unresolved, adhere to law or governing authority.",Always follow the code regardless of legal consequences.,Always follow organizational preference regardless of law.,2,"Ethical practice requires attempting to reconcile law and ethics first, but if unresolved, practitioners follow the law or governing authority.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"A practitioner wants to record a counseling session for supervision. Ethically, the practitioner should first:",record first and obtain consent later,obtain consent and explain anticipated uses of the recording,ask only the supervisor's permission,record secretly if identifying information will be removed,2,Recording client voices or images requires prior consent and clear explanation of how the recording will be used.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
A practitioner asked to release a client's assessment results to a third party should primarily consider:,whether the third party is curious,"whether disclosure is authorized, necessary, and limited to what is needed",whether the practitioner will receive praise,whether the client is unlikely to object,2,"Ethical disclosure requires valid authorization, legitimate purpose, and minimal necessary release of information.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which is the best example of exploitative conduct?,Referring a client to another qualified professional when needed,Using one's authority over a supervisee for personal gain,Explaining limits of confidentiality,Seeking consultation on a difficult case,2,Exploitation occurs when a practitioner misuses power over another person for personal benefit.,Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
Which practice best reflects integrity in public statements?,Exaggerating success rates to attract clients,Using vague credentials that could be misinterpreted,"Making accurate, nondeceptive statements about training, services, and qualifications",Claiming competence in all areas of psychology,3,"Integrity requires truthful and accurate communication about one's background, services, and competence.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
"In an emergency where no other mental health service is available, a practitioner may:",provide no help unless fully specialized,"provide cautious, limited emergency assistance and discontinue when the emergency ends, ensuring competent follow-up is available",take over long-term treatment indefinitely outside competence,ignore referral needs after the crisis,2,"Ethical emergency practice allows limited assistance to prevent harm, provided the practitioner acts cautiously and ensures proper referral afterward.",Medium,Developmental Psychology,Chapter 3,Chapter 3 Set 3
