Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which statement about sex determination is correct?,The mother's ovum determines whether the child will be male or female,The father's sperm determines chromosomal sex,Sex is determined only after implantation,Hormones alone determine chromosomal sex,2,"The sperm carries either an X or Y chromosome, determining biological sex at fertilization.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A trait controlled by multiple genes is said to follow:,recessive inheritance,sex-linked inheritance,polygenic inheritance,incomplete dominance only,3,Polygenic traits result from the combined effects of multiple genes.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Down syndrome is most commonly associated with:,mutation in a single dominant gene,trisomy involving chromosome 21,missing sex chromosome,X-linked recessive inheritance,2,Down syndrome results from an extra copy of chromosome 21.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which maternal condition poses the greatest risk for fetal alcohol spectrum disorders?,Moderate caffeine intake,Prenatal exercise,Heavy alcohol use during pregnancy,Increased folic acid intake,3,Alcohol is a teratogen that disrupts fetal brain and physical development.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A teratogen is:,a hereditary disorder with no environmental basis,an environmental agent that can interfere with prenatal development,a postnatal infection acquired during labor,a reflex that promotes newborn survival,2,Teratogens are harmful external agents affecting prenatal growth.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
The principle that development proceeds from the head downward is called:,proximodistal development,cephalocaudal development,epigenetic progression,hierarchical integration,2,Cephalocaudal pattern describes head-to-tail growth.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Low birth weight is defined as birth weight below:,4.5 kilograms,3.5 kilograms,2.5 kilograms,1.5 kilograms,3,"The standard cutoff for low birth weight is 2,500 grams.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Which newborn assessment commonly uses measures such as heart rate, muscle tone, and reflex irritability?",Stanford-Binet,Apgar scale,Bayley Scales,Denver II,2,The Apgar scale evaluates newborn physical condition immediately after birth.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
The disappearance of a response after repeated presentation of the same stimulus is called:,conditioning,accommodation,habituation,generalization,3,Habituation reflects decreased responsiveness to repeated stimuli.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"In Piaget's sensorimotor stage, object permanence refers to understanding that:",objects are named by language,hidden objects continue to exist,all objects can be used symbolically,objects remain unchanged in size,2,Object permanence is recognizing that objects still exist even when out of sight.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A baby who shakes a rattle because the sound is interesting is showing:,primary circular reaction,secondary circular reaction,deferred imitation,social referencing,2,Repeating actions to produce interesting external effects defines secondary circular reactions.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
The psychologist most associated with the sensorimotor stage is:,Skinner,Erikson,Piaget,Kohlberg,3,Piaget developed the sensorimotor stage theory.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Chomsky proposed that children are biologically prepared for language through a:,behavior chain,language acquisition device,moral grammar,reinforcement schedule,2,Chomsky proposed an innate mechanism for language learning.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"""Overextension"" in early speech refers to:",failure to use gestures,using one word too narrowly,using one word too broadly,repeating adult speech exactly,3,Overextension involves applying a word to too many objects.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"A toddler sees a dog, looks at the parent's fearful face, and then withdraws. This is an example of:",deferred imitation,social referencing,mutual regulation,separation protest,2,Children look to caregivers' emotional cues to guide behavior.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"According to Erikson, the central psychosocial task of infancy is:",autonomy versus shame and doubt,initiative versus guilt,trust versus mistrust,identity versus role confusion,3,Infants develop trust when caregivers are consistent and responsive.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
The attachment pattern characterized by distress at separation and ambivalent behavior at reunion is:,secure,avoidant,resistant/ambivalent,disorganized only in adolescence,3,This attachment involves distress and inconsistent caregiver responses.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Temperament refers to:,learned social roles,biologically based emotional style,unconscious wishes,parental discipline strategy,2,Temperament reflects innate emotional reactivity and regulation.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Preschool children's difficulty understanding that others may hold beliefs different from their own is most closely related to limitations in:,object permanence,theory of mind,conservation,autobiographical memory,2,Understanding others' perspectives develops during early childhood.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Piaget described early childhood as the stage of:,concrete operations,formal operations,preoperational thought,sensorimotor intelligence,3,This stage includes symbolic thinking but limited logic.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A child says that a taller glass contains more water even after equal amounts are poured from identical containers. This error shows lack of:,reversibility,symbolic function,seriation,hypothetico-deductive reasoning,1,"The child cannot mentally reverse the transformation, which is required to understand conservation.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Vygotsky's zone of proximal development refers to tasks that:,are impossible for the child to learn,the child can do alone without difficulty,the child can master with guidance,depend only on maturation,3,The zone of proximal development includes tasks achievable with assistance from more skilled individuals.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Private speech in early childhood is best understood as:,evidence of egocentrism only,immature language that should be discouraged,self-guiding speech that supports problem solving,a sign of language delay,3,Private speech helps children regulate their behavior and thinking during tasks.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which parenting style is generally associated with the most favorable developmental outcomes?,Authoritarian,Permissive,Authoritative,Neglectful,3,"Authoritative parenting combines warmth and control, promoting competence and independence.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"According to Erikson, the major psychosocial crisis in early childhood is:",trust versus mistrust,initiative versus guilt,industry versus inferiority,autonomy versus shame and doubt,2,Children develop initiative by engaging in purposeful activities during early childhood.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Play that involves make-believe and role enactment is called:,functional play,rough-and-tumble play,dramatic or pretend play,parallel play,3,Pretend play involves symbolic role-taking and imagination.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which is the best example of induction in discipline?,Hitting a child immediately after misbehavior,Removing all privileges indefinitely,Explaining how the child's behavior affected another person,Ignoring the child until compliance occurs,3,Induction teaches children empathy by highlighting consequences of their actions.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"A child who can identify the self using stable traits such as ""I am helpful"" or ""I am good at drawing"" is showing growth in:",self-concept,object permanence,delayed imitation,gender constancy,1,Self-concept develops as children begin describing themselves using stable characteristics.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Piaget's concrete operational child is most likely able to:,think only in reflexive patterns,solve abstract propositions with ease,conserve quantity and classify hierarchically,reason well about hypothetical worlds,3,Concrete operational thinking allows logical reasoning about tangible objects and conservation tasks.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"The ability to arrange items in order along a dimension, such as shortest to tallest, is called:",centration,seriation,transduction,animism,2,Seriation involves ordering objects along a quantitative dimension.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Metamemory refers to:,memory loss in middle childhood,memory for motor acts,knowledge about how memory works,unconscious memory storage,3,Metamemory is awareness and understanding of memory processes.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Sternberg's triarchic theory includes analytic, creative, and:",fluid intelligence,crystallized intelligence,practical intelligence,moral intelligence,3,Practical intelligence refers to real-world problem-solving ability.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A child who uses rehearsal or organization to remember information is demonstrating:,executive dysfunction,mnemonic strategy use,egocentric speech,sensory memory only,2,Strategies like rehearsal improve memory performance.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"According to Erikson, the key psychosocial issue in middle childhood is:",industry versus inferiority,initiative versus guilt,autonomy versus shame and doubt,intimacy versus isolation,1,Children develop competence through productive activities.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Repeated peer aggression involving a power imbalance is called:,assertiveness,sociometric rejection,bullying,co-regulation,3,Bullying involves repeated aggression and unequal power.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A child who is well-liked by many peers and disliked by few would most likely be classified as:,neglected,controversial,popular,rejected,3,Popular children receive high positive and low negative peer nominations.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Resilience is best described as:,absence of stress exposure,automatic recovery without support,positive adaptation despite adversity,genetic immunity to psychopathology,3,Resilience refers to successful adaptation despite challenges.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which family factor is most consistently linked to better child adjustment after divorce?,High interparental conflict,Consistent warmth and effective parenting,Frequent triangulation,Parentification of the child,2,Supportive parenting buffers children from stress after divorce.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Puberty refers to:,attainment of legal adulthood,period of rapid hormonal and physical sexual maturation,end of brain development,achievement of identity,2,Puberty involves biological changes leading to sexual maturity.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Menarche is:,first ejaculation,first ovulation,first menstrual period,onset of breast development,3,Menarche marks the beginning of menstruation.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
One hallmark of adolescent egocentrism is the:,conservation error,imaginary audience,stranger anxiety,deferred imitation,2,Adolescents believe others are constantly observing them.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Piaget held that adolescents enter the stage of:,preconventional morality,formal operations,concrete operations,postformal thought,2,Adolescents develop abstract and hypothetical thinking.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
The ability to generate hypotheses and test them systematically is:,transductive reasoning,social referencing,hypothetical-deductive reasoning,practical intelligence,3,This is a key feature of formal operational thinking.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"According to Kohlberg, reasoning based on social approval and law-and-order concerns is characteristic of:",preconventional morality,conventional morality,postconventional morality,autonomous morality only,2,Conventional morality focuses on maintaining social order and gaining approval.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Gilligan argued that traditional theories of moral development underemphasized:,logic,justice,care and responsibility in relationships,reinforcement history,3,Gilligan emphasized an ethic of care.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Marcia described identity development using the dimensions of:,attachment and trust,crisis/exploration and commitment,autonomy and intimacy,initiative and guilt,2,Identity status depends on exploration and commitment.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
An adolescent who has explored alternatives and made definite choices about beliefs and goals is in identity:,diffusion,foreclosure,moratorium,achievement,4,Identity achievement reflects both exploration and commitment.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which parenting pattern is generally associated with the most favorable adolescent outcomes?,Authoritative,Rejecting,Coercive,Inconsistent permissiveness,1,Balanced parenting promotes autonomy and competence.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which adolescent is at greatest risk for delinquent behavior?,One with strong school bonding and prosocial peers,One with effective parental monitoring and supportive adults,One with deviant peers and weak family supervision,One with high academic engagement and sports involvement,3,Risk increases with negative peer influence and poor supervision.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"The term ""sexting"" refers to:",early sexual maturation,digital transmission of sexual messages or images,sex education in schools,online identity diffusion only,2,Sexting involves sharing sexual content electronically.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Arnett used the term ""emerging adulthood"" to refer roughly to:",ages 10 to 14,ages 15 to 18,late teens through twenties in many industrialized societies,ages 30 to 40,3,"Emerging adulthood is a distinct developmental period characterized by exploration in identity, work, and relationships.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which characteristic is most typical of emerging adulthood?,Immediate assumption of stable adult roles in all cultures,"Exploration of identity, work, and relationships",Complete psychosocial maturity by age 18,Total independence from parents in all settings,2,This period is marked by instability and exploration before settling into adult roles.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Sternberg's triangular theory of love includes intimacy, passion, and:",attachment,fidelity,commitment,sacrifice,3,Commitment completes the three components of love in Sternberg's theory.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A couple living together without being legally married are:,separated,remarried,cohabiting,disengaged,3,Cohabitation refers to partners living together without legal marriage.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which factor is commonly associated with better adjustment to marriage and parenthood?,Unrealistic expectations and low communication,Chronic role conflict with no support,"Flexibility, communication, and shared responsibility",Financial secrecy and rigid gender expectations,3,Healthy relationships rely on communication and shared roles.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Emotional intelligence refers primarily to the ability to:,raise IQ through training,understand and regulate emotions,memorize emotional words,suppress all negative affect,2,Emotional intelligence involves recognizing and managing emotions effectively.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Fluid intelligence refers to:,accumulated knowledge,school grades only,ability to solve novel problems,motor coordination,3,Fluid intelligence involves reasoning and problem-solving in new situations.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Crystallized intelligence refers to:,genetic endowment alone,stored knowledge and verbal skill,rapid processing only,nonverbal reasoning in infants,2,Crystallized intelligence reflects accumulated knowledge over time.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which is the best example of postformal or mature adult thought?,Insisting every issue has one correct answer,Rejecting contradiction as impossible,Integrating logic with experience and context,Thinking only in concrete terms,3,Mature thinking considers multiple perspectives and contextual factors.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"In many societies, transition to adult work and family roles is influenced strongly by:",reflex development,historical and cultural context,fixed universal age deadlines only,test scores alone,2,Developmental timing is shaped by sociocultural conditions.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Menopause refers to:,first menstrual period,cessation of ovulation and menstruation,decline in testosterone only,end of sexuality,2,Menopause marks the end of reproductive capability in women.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which statement about middle adulthood is most accurate?,All adults experience a severe midlife crisis,Midlife is uniformly a period of decline,Midlife can involve both loss and growth,Personality becomes completely unstable,3,Midlife includes both challenges and opportunities for development.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"According to Horn and Cattell, which ability tends to be better maintained with age and experience?",Fluid intelligence,Crystallized intelligence,Sensory memory,Processing speed,2,Knowledge-based abilities are maintained or even improve with age.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Expertise in middle adulthood often compensates for slower processing by:,eliminating the need for memory,relying on deep domain-specific knowledge,preventing any cognitive decline,reducing the influence of practice,2,Experts use experience and organized knowledge to maintain performance.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Erikson described the central psychosocial task of middle adulthood as:,ego integrity versus despair,intimacy versus isolation,generativity versus stagnation,industry versus inferiority,3,Adults seek to contribute to the next generation.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Generativity is best expressed in which behavior?,Withdrawing from society,Investing in guiding the next generation,Avoiding responsibility,Rejecting work and family roles,2,"Generativity involves mentoring, parenting, and societal contribution.",Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"The ""empty nest"" generally refers to:",infertility in middle adulthood,loss of occupational role,children leaving the parental home,widowhood,3,The empty nest occurs when children move out.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Caring simultaneously for adolescent or adult children and aging parents is often described as:,identity foreclosure,sandwich generation experience,disengagement,selective optimization,2,This describes adults caring for two generations at once.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which factor is most strongly linked to well-being in long-term midlife relationships?,Constant idealization without conflict,Marital quality rather than marital status alone,Economic dependence only,Absence of all role strain,2,Relationship satisfaction predicts well-being more than status alone.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Identity process in midlife is best characterized by:,absolute stability with no revision,continuing adaptation and reinterpretation of the self,elimination of all earlier commitments,complete dependence on biology,2,Identity continues evolving through life experiences.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Presbyopia refers to:,age-related hearing loss,clouding of the lens,difficulty focusing on near objects,irreversible optic nerve damage,3,Presbyopia affects near vision due to lens stiffness.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Which theory proposes that aging results partly from accumulated damage from wear, toxins, or cellular error?",Variable-rate theory,Psychoanalytic theory,Attachment theory,Social learning theory,1,Biological aging is partly due to accumulated damage over time.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Selective optimization with compensation refers to:,denying age-related change,maximizing all activities equally,focusing on priorities and compensating for losses,avoiding social participation,3,Older adults adapt by prioritizing strengths and compensating for declines.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Wisdom in late adulthood is best understood as:,perfect memory for facts,superior sensorimotor speed,expert knowledge in the pragmatics of life,immunity from emotional distress,3,Wisdom involves practical judgment and life insight.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Erikson's final psychosocial crisis is:,intimacy versus isolation,ego integrity versus despair,initiative versus guilt,autonomy versus shame and doubt,2,Older adults evaluate their life with acceptance or regret.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which situation best reflects ageism?,Providing accessible services to older adults,"Assuming all older adults are frail, forgetful, and resistant to change",Encouraging active aging,Adapting communication to sensory needs,2,Ageism involves stereotyping and discrimination based on age.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Disengagement theory proposes that:,older adults thrive by maximizing social roles,aging involves mutual withdrawal between person and society,social support becomes irrelevant in old age,loneliness is biologically predetermined,2,The theory suggests reduced interaction between older adults and society.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Activity theory would predict greater satisfaction in late adulthood when older adults:,remain socially and psychologically engaged,sever most social ties,avoid meaningful roles,depend entirely on institutions,1,Active engagement supports well-being in old age.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which loss is often associated with the greatest long-term adjustment challenge in late adulthood?,Loss of a favorite television program,Loss of a spouse,Loss of a recreational hobby,Loss of an outdated work title,2,Spousal loss has profound emotional and adjustment impact.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Kubler-Ross's framework is most commonly associated with:,attachment categories,stages of grief and reactions to dying,moral development,intelligence testing,2,Kubler-Ross described emotional responses to death and dying.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A psychometrician is asked to conduct psychotherapy for an adolescent with depression in a routine outpatient setting. The best response is to:,provide therapy independently if the family insists,provide therapy only if no psychologist is available anywhere,"decline the therapy role and refer appropriately, unless it is an emergency situation",proceed as long as the client signs consent,3,Scope of practice limits psychometricians from independently providing psychotherapy.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A psychometrician administers a psychological test without required supervision and interprets results independently. The main ethical issue is:,overemphasis on confidentiality,practice beyond professional boundaries,excessive use of informed consent,failure to use a projective test,2,Practicing beyond defined roles violates ethical and legal standards.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A school requests raw test data from a psychometrician. The best action is to:,release all materials immediately,release only summaries to anyone,protect test data and release only to authorized individuals,post results publicly,3,Confidentiality and test security must be maintained.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"During teleassessment, disruptions affect test performance. The ethical response is to:",ignore the issue,continue without noting it,document limitations and consider effects on validity,adjust scores arbitrarily,3,Test validity must be preserved and limitations reported.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Sharing identifiable client information in class violates:,beneficence only,test standardization,confidentiality and privacy,informed assent,3,Client identity must be protected.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A practitioner notices unethical test use by a colleague. The best response is to:,ignore it,consider appropriate action and resolve if possible,publicly shame the colleague,immediately report without basis,2,Ethical practice requires appropriate and proportional response.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Delegating testing to an untrained assistant is unethical because:,delegation is never allowed,tasks must only be delegated to competent individuals,assistants can only schedule,two psychologists are always required,2,Delegation requires proper training and supervision.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
A client chooses to terminate therapy early. The ethical response is to:,threaten consequences,deny termination,respect the client's right while discussing implications,disclose information to family,3,Clients have autonomy to terminate services.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Leaving test protocols unsecured violates:,social desirability,confidentiality and test security,interpretation norms,informed refusal,2,Secure handling of materials is required.,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
"Before conducting a court-ordered assessment, the practitioner should:",assume full confidentiality,"clarify role, purpose, and limits of confidentiality",promise secrecy,skip explanation,2,Third-party assessments require clear informed consent and role clarification. DEVELOPMENTAL PSYCHOLOGY EXAM 2,Medium,Developmental Psychology,Chapter 1,Chapter 1 Set 1
Which statement best reflects the life-span perspective in development?,Development ends once biological maturity is reached.,Development is limited to childhood because growth is most visible then.,Development involves lifelong patterns of change and stability.,Development is determined almost entirely by heredity.,3,"Development is viewed as a continuous process from conception to death, involving both gains and losses across all stages.",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
"A developmental psychologist studying how poverty, parenting, and school quality interact in shaping cognition is most directly examining:",a single maturation timetable,interrelated contextual influences,only hereditary transmission,reflexive behavior,2,Development is influenced by multiple interacting environmental systems rather than a single isolated factor.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which is the best example of a normative age-graded influence?,Experiencing a major earthquake,Beginning menopause in midlife,Being born during a pandemic,Losing a parent at age 8,2,Normative age-graded influences are biological or environmental events that occur at a typical time in life.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which statement best captures the difference between a critical period and a sensitive period?,A critical period is longer than a sensitive period.,A critical period requires social learning; a sensitive period does not.,"A critical period is a narrowly defined time when an event must occur, whereas a sensitive period is a time of heightened responsiveness.",A critical period applies only to language and a sensitive period applies only to attachment.,3,"Critical periods require specific experiences at a precise time, while sensitive periods allow more flexibility but optimal learning occurs within them.",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
A theorist who emphasizes unconscious motivation and early experience would most likely belong to which perspective?,Psychoanalytic,Information-processing,Behaviorist,Contextual,1,Psychoanalytic theory focuses on unconscious processes and early childhood experiences as determinants of behavior.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
The concept of the zone of proximal development is most closely associated with:,Piaget,Erikson,Vygotsky,Bandura,3,Vygotsky proposed that learning occurs through guided support within a child's zone of proximal development.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
"In developmental research, a major advantage of longitudinal designs is that they:",avoid attrition completely,can directly show individual patterns of change over time,are always faster than cross-sectional studies,eliminate cohort effects entirely,2,"Longitudinal studies track the same individuals, allowing observation of developmental changes within the same participants.",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
"A researcher compares 8-year-olds, 18-year-olds, and 68-year-olds at one point in time. This is a:",longitudinal design,sequential design,cross-sectional design,microgenetic design,3,Cross-sectional research compares different age groups at a single point in time.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which research method is most appropriate when the goal is to understand how participants make sense of bereavement in their own words?,Qualitative interview,Randomized controlled trial,Twin study,Standardized intelligence test,1,Qualitative interviews capture subjective meanings and personal experiences such as grief.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which ethical principle is most central when a researcher ensures that participants fully understand risks before joining a study?,Debriefing,Standardization,Informed consent,Random assignment,3,"Informed consent ensures participants understand procedures, risks, and their rights before participation. (Continuing in same format...)",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which pair correctly distinguishes genotype from phenotype?,Genotype is observable traits; phenotype is genetic makeup.,Genotype is inherited potential; phenotype is its observable expression.,Genotype is environmental influence; phenotype is biological inheritance.,Genotype is dominant traits only; phenotype is recessive traits only.,2,"Genotype refers to genetic makeup, while phenotype is the observable result influenced by environment.",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
"When both parents are carriers for an autosomal recessive disorder, the child will express the disorder only if the child:",inherits one recessive allele,inherits two dominant alleles,inherits two recessive alleles,is male,3,Autosomal recessive conditions require two copies of the recessive gene to be expressed.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Down syndrome is most commonly associated with:,trisomy 21,a recessive sex-linked gene,a dominant autosomal mutation,genomic imprinting only,1,Down syndrome results from an extra chromosome 21.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
Which statement best illustrates canalization?,A trait is unaffected by genes.,Development follows a strongly programmed path unless environmental forces are extreme.,Children inherit all emotional tendencies directly from one parent.,Prenatal growth proceeds randomly.,2,Canalization refers to traits that develop predictably unless disrupted by strong environmental factors.,Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
A fetus is most vulnerable to teratogens during the embryonic period because this is when:,organ systems are forming rapidly,reflexes are already well established,fetal learning has reached maturity,language begins to emerge,1,"Organogenesis occurs during the embryonic stage, making it highly sensitive to teratogens.",Medium,Developmental Psychology,Chapter 2,Chapter 2 Set 2
