"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Piaget's sensorimotor stage is primarily characterized by the development of:","abstract deductive logic","symbolic moral reasoning","knowledge through sensory and motor interaction","formal hypothetical thinking","3","In the sensorimotor stage, infants learn about the world primarily through direct sensory experience and physical action.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The understanding that objects continue to exist even when out of sight is called:","conservation","irreversibility","object permanence","centration","3","Object permanence is the understanding that objects still exist even when they are no longer visible.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Habituation in infancy refers to:","fear of unfamiliar stimuli","decreasing response to repeated stimulation","imitation of caregiver behavior","distress from sensory overload","2","Habituation occurs when an infant's response declines after repeated exposure to the same stimulus, indicating recognition or learning.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which finding most strongly challenges Piaget's original claim that infancy is cognitively very limited?","Infants show no preference for faces","Infants may show earlier-than-expected object knowledge","Toddlers cannot yet speak in sentences","Preschoolers are egocentric","2","Research suggests infants demonstrate some understanding of object properties earlier than Piaget originally proposed.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The classic debate on language acquisition is best summarized as:","maturation versus attachment","heredity versus nutrition","nature versus nurture","cognition versus emotion","3","The major debate in language acquisition concerns the relative contribution of innate biological readiness and environmental learning.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Noam Chomsky is most associated with the view that language development is supported by:","reinforcement histories alone","an inborn capacity for language","imitation without cognition","peer modeling in adolescence","2","Chomsky argued that humans possess an innate biological capacity that supports language acquisition.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"An infant forms a close emotional bond with a consistent caregiver and uses that person as a secure base for exploration. This illustrates:","autonomy","attachment","conservation","deferred imitation","2","Attachment is an enduring emotional bond that allows the caregiver to function as a secure base for exploration.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"According to Erikson, the central psychosocial task of infancy is:","initiative versus guilt","industry versus inferiority","trust versus mistrust","identity versus role confusion","3","Erikson identified trust versus mistrust as the central infant task, based on whether caregiving is dependable and responsive.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A toddler insists, ""Me do it!"" when trying to put on shoes. This behavior most directly reflects:","basic trust","autonomy","generativity","intimacy","2","The behavior reflects the toddler's drive for independence, which is central to autonomy versus shame and doubt.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Social referencing occurs when an infant:","copies a sibling's homework behavior","looks to a caregiver's emotional cues to guide behavior","prefers social rewards over food rewards","uses language to label people in the environment","2","Social referencing occurs when infants use another person's emotional reaction to interpret uncertain situations.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which parenting outcome is most strongly associated with warm, responsive, and appropriately controlling caregiving?","Learned helplessness","Secure attachment and better self-regulation","Persistent egocentrism","Identity diffusion","2","Warm and responsive caregiving with appropriate control supports secure attachment and stronger self-regulatory capacities.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Failure to thrive in infancy is most likely when:","caloric intake is excessive","attachment and caregiving are severely disrupted","motor development is advanced","object permanence develops late","2","Failure to thrive is often linked to neglect, poor caregiving, or severely disturbed caregiver-child interaction.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In Piaget's preoperational stage, a child focuses on one striking aspect of a situation and ignores others. This is called:","conservation","centration","reversibility","accommodation","2","Centration is the tendency to focus on one dimension of a situation while neglecting others.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A child believes that a taller glass contains more juice even when the amount was merely poured from a short glass. This error reflects lack of:","object permanence","attachment security","conservation","private speech","3","The child lacks conservation because the child does not understand that quantity remains the same despite changes in appearance.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Vygotsky viewed private speech mainly as:","a sign of pathology","immature echolalia with no function","a tool for self-guidance and regulation","evidence of delayed language development","3","Vygotsky saw private speech as a helpful means by which children guide their own thinking and behavior.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which is a hallmark of theory of mind?","Knowing that all rules are fixed","Understanding that others may hold false beliefs","Classifying objects by shape","Recalling a list of digits backward","2","Theory of mind involves recognizing that other people can have thoughts, beliefs, and perspectives different from one's own.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"According to Erikson, the major psychosocial conflict in early childhood is:","trust versus mistrust","initiative versus guilt","industry versus inferiority","ego integrity versus despair","2","Erikson identified initiative versus guilt as the key early childhood task because children become increasingly purposeful and self-directed.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A child spends time pretending to be a doctor while assigning roles to peers. This best illustrates:","parallel play only","associative neglect","imaginative socio-dramatic play","formal operational reasoning","3","Socio-dramatic play involves pretend roles, shared scenarios, and coordinated make-believe with others.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement about parenting styles is most accurate?","Authoritative parenting combines warmth with firm control.","Authoritarian parenting is always optimal across all cultures.","Permissive parenting emphasizes high control and low warmth.","Neglectful parenting is marked by high responsiveness.","1","Authoritative parenting is defined by high responsiveness together with clear expectations and appropriate control.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In middle childhood, children typically move into Piaget's stage of:","sensorimotor thought","preoperational thought","concrete operational thought","postformal thought","3","Middle childhood is typically associated with concrete operational thinking, including logical reasoning about tangible situations.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A school-age child understands conservation, seriation, and classification but struggles with abstract hypotheticals. This profile best fits:","preoperational thought","concrete operational thought","formal operational thought","postformal thought","2","Concrete operational thinkers can reason logically about concrete information but still have difficulty with abstract hypothetical problems.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Metamemory refers to:","memory loss due to trauma","awareness of how memory works","unconscious repression","reflexive recall in infancy","2","Metamemory is knowledge and awareness about memory processes, including strategies for remembering.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which ability improves markedly in middle childhood and helps children follow multistep instructions and solve problems?","Executive functioning","Sensorimotor adaptation","Neonatal reflex integration","Ego diffusion","1","Executive functioning improves in middle childhood and supports planning, attention control, inhibition, and organized problem solving.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A child's belief that ""I am good at math but weak in drawing"" best reflects development of:","object permanence","representational self-concept","ego integrity","social smile","2","This reflects a more differentiated self-concept in which children describe themselves in specific domains.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Erikson identified the key psychosocial task of middle childhood as:","industry versus inferiority","intimacy versus isolation","autonomy versus shame","identity versus confusion","1","Industry versus inferiority centers on developing competence and confidence in school, work, and social tasks.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Repeated peer victimization involving power imbalance and intent to harm is called:","scaffolding","bullying","accommodation","social referencing","2","Bullying involves repeated harmful behavior in which there is a power imbalance between the aggressor and the victim.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"During puberty, the hormonal process that triggers sexual maturation primarily involves the:","limbic-only circuit","hypothalamic-pituitary-gonadal axis","enteric nervous system","peripheral sensory tract","2","Sexual maturation is triggered by endocrine activity involving the hypothalamus, pituitary gland, and gonads.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Adolescents often feel as though everyone is watching them. Elkind called this:","identity achievement","imaginary audience","self-efficacy","social clock","2","The imaginary audience refers to adolescent egocentrism in which adolescents believe others are constantly observing and evaluating them.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Piaget's formal operational stage is marked by the ability to:","think only in concrete terms","use hypothetical-deductive reasoning","rely exclusively on trial and error","understand only immediate sensory input","2","Formal operational thought includes abstract, systematic, and hypothetical-deductive reasoning.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Kohlberg's theory is primarily concerned with development of:","language syntax","moral reasoning","attachment behavior","emotional contagion","2","Kohlberg's theory focuses on how people reason about moral issues and justice.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Carol Gilligan is best known for emphasizing:","operant conditioning","an ethic of care in moral development","psychosocial foreclosure","ecological motor development","2","Gilligan emphasized that moral reasoning may also be grounded in care, relationships, and responsibility to others.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which adolescent is most likely to be in Marcia's moratorium status?","One who has explored alternatives but has not yet committed","One with strong commitment without prior exploration","One who avoids both exploration and commitment","One whose identity is fully integrated and stable","1","Moratorium refers to active exploration of alternatives without a firm commitment yet.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"According to Erikson, the psychosocial crisis of adolescence is:","initiative versus guilt","identity versus identity confusion","intimacy versus isolation","generativity versus stagnation","2","Erikson described adolescence as the period of forming a coherent identity rather than experiencing confusion about roles and self.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement about adolescent-parent relationships is most accurate?","Serious conflict is universal and necessary for normal development.","Adolescence always leads to emotional detachment from parents.","Most adolescents maintain attachment to parents while seeking autonomy.","Peer influence completely replaces family influence.","3","Most adolescents continue to value parental attachment while also working toward greater independence.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Juvenile delinquency is best understood as:","caused solely by heredity","unrelated to peer and family influences","shaped by interacting biological, family, peer, and community factors","a normal stage all adolescents pass through","3","Delinquency is best explained by multiple interacting influences rather than a single cause.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The term emerging adulthood is most often used for the period characterized by exploration and instability between:","ages 10 to 14","ages 15 to 17","late teens through the twenties","ages 40 to 60","3","Emerging adulthood refers to the period from the late teens through the twenties marked by identity exploration and transition.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which ability is most consistent with adult cognition beyond adolescence?","Decreased capacity for reflective thought","Greater ability to handle ambiguity and practical problems","Complete replacement of emotion by logic","Loss of all idealism and moral concern","2","Adult cognition often becomes more reflective, flexible, and practical in dealing with complex real-life issues.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Sternberg's triarchic theory includes:","sensorimotor, preoperational, concrete","classical, operant, observational","analytical, creative, and practical intelligence","trust, autonomy, and initiative","3","Sternberg's triarchic theory proposes that intelligence includes analytical, creative, and practical components.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Emotional intelligence refers to the capacity to:","eliminate emotion from reasoning","understand and regulate emotions","memorize emotional words efficiently","avoid all interpersonal conflict","2","Emotional intelligence involves recognizing, understanding, and managing one's own emotions and those of others.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A major developmental task in emerging and young adulthood, according to Erikson, is:","industry","integrity","intimacy","autonomy","3","Erikson viewed intimacy versus isolation as the major young adult task, involving formation of close committed relationships.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which factor is most strongly associated with higher relationship stability in young adulthood?","Impulsivity and poor communication","Mutual commitment and effective conflict management","Avoidance of all disagreements","Dependence on peer approval","2","Relationship stability is strongly supported by commitment, communication, and constructive conflict resolution.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Parenthood is best viewed developmentally as:","uniformly stressful and maladaptive","irrelevant to adult identity","a transition that can bring both strain and growth","protective against all marital dissatisfaction","3","Parenthood is a developmental transition that can increase stress while also fostering growth, meaning, and identity change.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In middle adulthood, fluid intelligence generally:","sharply increases without interruption","remains identical to adolescent levels","tends to decline more than crystallized intelligence","replaces crystallized intelligence","3","Fluid intelligence, which involves solving novel problems, tends to decline earlier and more than crystallized intelligence.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Crystallized intelligence refers to:","rapid novel problem solving","accumulated knowledge and verbal skill","motor speed under pressure","abstract reasoning in infancy","2","Crystallized intelligence refers to the accumulation of knowledge, vocabulary, and learned skills over time.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Expertise in midlife often allows adults to:","avoid all age-related cognitive changes","perform efficiently in familiar domains","eliminate the need for deliberate practice","solve all novel tasks better than younger adults","2","Expertise allows adults to use extensive knowledge and experience to perform efficiently in practiced areas.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Erikson described the central psychosocial challenge of middle adulthood as:","trust versus mistrust","intimacy versus isolation","generativity versus stagnation","ego integrity versus despair","3","Generativity versus stagnation involves contributing to society and guiding the next generation rather than becoming self-absorbed.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Generativity is best defined as:","fear of mortality","concern for guiding the next generation","withdrawal from social obligations","resistance to identity change","2","Generativity involves caring for, guiding, and contributing to the welfare of younger generations and society.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The so-called ""midlife crisis"" is best characterized as:","universal and biologically inevitable","a myth with no basis in any adult experience","a possible but nonuniversal pattern influenced by context and meaning","identical across cultures and genders","3","Research shows that a midlife crisis is not universal and depends on individual circumstances, interpretation, and context.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"The ""empty nest"" is most accurately described as:","always producing severe depression in parents","a transition whose effects vary depending on context and prior family relationships","evidence of failed attachment","irrelevant to midlife adjustment","2","The empty nest is a transition that may be experienced positively or negatively depending on family history, role investment, and context.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In late adulthood, which concept refers to adapting by selecting goals, optimizing strengths, and compensating for losses?","Social referencing","Selective optimization with compensation","Identity foreclosure","Classical conditioning","2","This concept describes adaptive aging through choosing priorities, maximizing strengths, and compensating for limitations.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement about aging is most accurate?","All older adults show severe cognitive impairment.","Aging is uniform across individuals.","Late adulthood involves both losses and potentials for adaptation.","Personality disappears in old age.","3","Aging involves both decline and resilience, with substantial individual differences and capacity for adaptation.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which memory ability tends to be relatively preserved longest in normal aging?","Speeded working memory in novel tasks","Procedural memory for well-practiced skills","Immediate recall under divided attention","All forms of episodic recall","2","Procedural memory for familiar, well-practiced actions is often relatively preserved in normal aging.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Wisdom in late adulthood is best described as:","photographic memory","rigid adherence to tradition","expert knowledge about life and sound judgment","absence of emotional conflict","3","Wisdom involves deep life knowledge, judgment, and insight in handling human problems and life complexities.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Erikson's final psychosocial stage is:","identity versus confusion","intimacy versus isolation","generativity versus stagnation","ego integrity versus despair","4","Erikson's final stage concerns evaluating one's life as meaningful and acceptable rather than experiencing regret and despair.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"An older adult who accepts both achievements and regrets and feels life has had meaning is showing:","despair","ego integrity","stagnation","foreclosure","2","Ego integrity is reflected in acceptance of one's life as meaningful despite imperfections or regrets.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which factor is most protective for psychological well-being in late adulthood?","Complete disengagement from all roles","Absolute independence from others","Supportive social relationships","Avoidance of all reflection on the past","3","Strong and supportive social ties are consistently associated with better mental health and adjustment in late adulthood.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Widowhood adjustment is generally easier when:","the person is socially isolated","grief is denied immediately","there are coping resources and social support","all reminders of the spouse are eliminated at once","3","Adjustment to widowhood is generally better when the bereaved person has emotional, practical, and social resources available.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Bereavement refers to:","the biological cessation of life","the social status and experience of having suffered a loss","denial of impending death","physician-assisted dying","2","Bereavement refers to the condition or status of having lost someone through death.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Grief is best understood as:","a fixed sequence everyone follows identically","an emotional response to loss that varies across persons and cultures","always pathological if prolonged beyond two weeks","unrelated to attachment","2","Grief is a response to loss that differs in pattern, timing, and expression across individuals and cultures.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which loss is often socially unrecognized and may therefore complicate mourning?","Retirement","Ambiguous or disenfranchised loss","Graduation","Geographic relocation only","2","Ambiguous or disenfranchised losses may lack clear recognition or closure, making mourning more difficult.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In end-of-life ethics, an advance directive is primarily intended to:","guarantee euthanasia on request","record a person's treatment wishes when future incapacity may occur","transfer all decisions to the state","eliminate all family involvement","2","An advance directive helps preserve personal autonomy by documenting treatment preferences before incapacity occurs.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Compared with early adulthood, late adulthood is often associated with:","less concern with meaning","more avoidance of life review","greater salience of mortality and legacy","disappearance of spiritual concerns","3","In late adulthood, awareness of mortality often heightens reflection on meaning, legacy, and life review.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement best reflects current developmental understanding of death across the life span?","Children and adults understand death in exactly the same way.","Understanding of death changes with cognitive development and experience.","Adolescents rarely think about mortality.","Older adults universally fear death more than all younger groups.","2","Concepts of death develop over time and are shaped by age-related cognitive growth and life experience.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Under RA 10029 and the PAP Code, which statement is most accurate?","Any psychology graduate may independently practice as a psychologist.","Only licensed and registered psychologists and psychometricians are legally allowed to practice their profession.","Licensure is optional if one works online.","Registration is required only for test interpretation.","2","RA 10029 and the PAP Code specify that legal practice of psychology and psychometrics requires proper licensure and registration.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A psychometrician is asked to conduct a highly specialized forensic evaluation beyond current training. The most ethical response is to:","accept the case to gain experience","proceed if the client insists","refuse or refer unless competence is first obtained","administer tests and let the lawyer interpret them","3","Ethical practice requires working only within one's competence and making appropriate referrals when expertise is lacking.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which principle is violated when a practitioner continues working despite serious personal problems that impair judgment and service quality?","Beneficence through persistence","Maintaining competence and self-monitoring","Social facilitation","Normative adaptation","2","Practitioners must monitor how personal problems affect their functioning and limit or suspend work when competence is impaired.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A practitioner becomes aware that another psychologist may have committed an ethical violation likely to cause substantial harm. The Code indicates that the practitioner should:","always post the allegation publicly","ignore the matter to preserve collegiality","take further action and report to appropriate authorities when warranted","destroy relevant records","3","When likely substantial harm exists, the Code supports taking further appropriate action and reporting the matter through proper channels.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Before beginning assessment or therapy, the practitioner should primarily:","avoid discussing risks to prevent anxiety","obtain informed consent using reasonably understandable language","rely only on implied consent in all cases","postpone all discussion of confidentiality until termination","2","Ethical practice requires informed consent that is clearly explained in language the client can reasonably understand.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"When services are court ordered, the practitioner should:","assume consent is unnecessary and give no explanation","inform the individual about the nature of services and limits of confidentiality","keep all information fully confidential from the court","provide only raw test data directly to all parties","2","Even when services are mandated, the person should still be informed about the nature of services and the limits of confidentiality.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which of the following best illustrates a multiple relationship?","Administering a test to a referred client","Conducting therapy with a current client while also entering a business partnership with that client","Consulting with a colleague about a case without identifiers","Referring a client to a physician","2","A multiple relationship exists when a practitioner has another significant role with a person with whom there is already a professional relationship.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A practitioner provides services through telepsychology. According to the Code, the practitioner should:","assume online work is exempt from usual ethical standards","apply the same ethical principles that govern face-to-face services","focus only on convenience, not privacy","avoid documenting consent because sessions are virtual","2","The Code states that telepsychology is governed by the same ethical principles that apply to in-person psychological services.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which statement best reflects ethical confidentiality?","Confidentiality has no limits under any circumstance.","Confidentiality may be limited by law, danger, or other valid ethical and legal grounds.","Confidentiality applies only to written records.","Confidentiality belongs solely to the referral source.","2","Confidentiality is fundamental but not absolute, since legal requirements and protection from harm can justify limited disclosure.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Before recording a client's voice or image, the practitioner must:","record first and explain later","obtain consent and explain anticipated uses","rely on clinic ownership of equipment","ask only a family member","2","Ethical recording requires prior consent and clear explanation of how the recording will be used.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which practice is most ethical regarding assessment tools?","Using photocopied test materials if the client cannot pay","Selecting tests irrelevant to the referral to gather more data","Using standardized, valid, reliable tools appropriate to the client","Administering the same battery to everyone regardless of language","3","Ethical assessment requires the use of psychometrically sound tools that are relevant and appropriate to the client and referral question.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A client requests raw test scores and item responses after assessment. Under the Code, the best response is:","release all raw data automatically to any requester","refuse all feedback of any kind","explain results appropriately but do not release raw test data except when legally required","post the results to the referral source's portal without consent","3","Ethical practice supports giving understandable feedback while protecting restricted raw test data unless release is legally mandated.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"In explaining test findings to parents or teachers, the practitioner should:","use highly technical language to preserve authority","communicate in clear nontechnical language","provide only percentile ranks","avoid discussing limitations of findings","2","Test findings should be explained in language that intended recipients can clearly understand.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A psychometrician is asked to let an unqualified office staff member administer a restricted psychological test alone. The best response is:","allow it if the staff member promises confidentiality","allow it when the office is busy","decline because assessment by unqualified persons is unethical","allow it if scoring is done later by a psychologist","3","Restricted psychological assessment must not be administered by unqualified persons because doing so violates professional standards.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"Which action best reflects ethical public statements by psychology practitioners?","Exaggerating success rates to attract clients","Making false claims about credentials on social media","Providing accurate, nondeceptive information about services and qualifications","Advertising guaranteed outcomes for therapy","3","Ethical public statements must be truthful, accurate, and not misleading about qualifications or services.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
"A client referred by an employer asks whether the practitioner can keep all assessment findings secret from the company. The best initial response is to:","promise full secrecy immediately","clarify at the outset who the client is, probable uses of information, and limits of confidentiality","refuse the referral automatically","submit all data directly to coworkers","2","In third-party referrals, the practitioner must clarify roles, intended recipients of information, and confidentiality limits at the outset.","Medium","Developmental Psychology","Chapter 4 Set 4","Chapter 4 Set 4"
