Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
Which observation best illustrates cross-modal transfer?,A child learns to ride a bicycle after repeated falls.,An infant who has mouthed a pacifier later visually recognizes its shape.,A toddler uses one word to express a full sentence.,A preschooler sorts blocks by color and size.,2,Cross-modal transfer occurs when information learned through one sensory modality is recognized through another modality.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A parent frequently labels objects, follows the infant's gaze, and talks responsively during play. This interaction most directly supports language development through:",joint attention,animism,conservation,social inhibition,1,Joint attention supports early word learning because the child and caregiver coordinate attention to the same object or event.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"According to the behaviorist approach, an infant who learns that crying brings a caregiver quickly to the crib is demonstrating:",classical conditioning only,operant conditioning,object permanence,accommodation,2,"If crying is reinforced by caregiver arrival, the behavior is maintained or strengthened through operant conditioning.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement is most consistent with information-processing research in infancy?,Early attention and processing efficiency can have predictive value for later cognitive functioning.,Infant attention has no relation to later development.,Cognitive processing begins only after age 2.,Information-processing research rejects all biological influence.,1,Information-processing research suggests that early measures such as habituation speed and attentional efficiency may relate to later cognition.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A toddler kisses a doll goodnight after watching a parent do so earlier in the day. This behavior is the strongest evidence of:,deferred imitation,circular reaction,sociometric status,egocentric speech,1,"Deferred imitation occurs when a child reproduces an observed act after a delay, demonstrating representational memory.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"In the study of early psychosocial development, the term goodness of fit refers to:",the child's physical resemblance to the parents,the match between a child's temperament and environmental demands,the degree of attachment to siblings,the fit between IQ score and school grade,2,Goodness of fit refers to how well a child's temperament is supported or matched by caregiving expectations and environment.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"An infant looks frightened by a barking dog, then calms down after seeing the caregiver smile. This is the clearest example of:",self-recognition,mutual regulation,social referencing,role rehearsal,3,The infant uses the caregiver's emotional expression to guide a response to an uncertain situation.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A researcher finds that caregivers in one culture respond quickly to infant crying, while in another culture they expect more self-soothing. This finding most strongly supports which conclusion?",Attachment has no cultural variability.,Early caregiving practices are shaped partly by cultural beliefs.,Crying patterns are entirely genetically fixed.,Only one caregiving pattern is developmentally normal.,2,"Variation in responses to crying across cultures reflects culturally shaped beliefs about infants, emotion, and caregiving.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which situation best illustrates the development of autonomy in toddlerhood?,An infant quiets only when rocked,A toddler insists on feeding himself despite making a mess,A preschooler invents an imaginary friend,A school-age child compares his grades with classmates,2,Self-assertive independence in everyday tasks is a classic sign of autonomy development in toddlerhood.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A toddler obeys only when the parent is standing nearby and monitoring behavior. Kochanska would describe this pattern as:,committed compliance,receptive cooperation,situational compliance,moral internalization,3,Situational compliance refers to obedience that depends on immediate external monitoring or control.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which child is at greatest risk for problems associated with nonorganic failure to thrive?,a child with warm caregiving and adequate nutrition,a child experiencing severe neglect and poor caregiver interaction,a child who begins to walk later than average,a child with a secure attachment to both parents,2,"Nonorganic failure to thrive is strongly associated with neglect, poor emotional care, and disturbed caregiver-child interaction.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A preschooler says, ""The moon is following me."" This statement most clearly reflects:",transductive reasoning,animistic and egocentric thinking,formal operational logic,postconventional morality,2,The child attributes intentional action to the moon and interprets events from a self-centered perspective.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which task would be most difficult for a child in the preoperational period?,engaging in pretend play,using words to represent objects,mentally reversing a conservation transformation,drawing from memory,3,Preoperational children typically struggle with reversibility and conservation because they cannot yet mentally undo transformations reliably.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A child who understands that one object can be a ""dog,"" a ""pet,"" and an ""animal"" is demonstrating:",class inclusion,overextension,underregularization,reflex integration,1,Class inclusion involves understanding that an object can belong simultaneously to a smaller and a larger category.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which finding best reflects development in executive functioning during early childhood?,children become less able to inhibit impulses,"children gradually improve in planning, attention control, and working memory",executive functioning disappears as language grows,executive functioning is unrelated to school readiness,2,"Executive functioning includes inhibitory control, working memory, and planning, all of which improve during early childhood.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A preschool teacher gives hints that help a child complete a puzzle the child could not solve alone. This teaching practice is best described as:,imprinting,scaffolding,reciprocal punishment,selective optimization,2,Scaffolding refers to temporary support that helps a child perform beyond current independent ability.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about private speech is most accurate?,It is always a sign of maladjustment.,It reflects internalizing language for self-guidance.,It shows inability to communicate socially.,It disappears before age 3 in all children.,2,Private speech helps children guide thinking and behavior and is viewed as a step toward internal verbal thought.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A child's emerging knowledge of print concepts, story structure, and sound-symbol awareness is best described as:",concrete operations,emergent literacy,latent learning,semantic conditioning,2,"Emergent literacy refers to the early skills, attitudes, and knowledge that form the basis of later reading and writing.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A preschool child says, ""I goed there yesterday."" This error is best interpreted as evidence that the child:",lacks understanding of grammar entirely,is applying a grammatical rule to an irregular verb,has no memory for past events,is confusing nouns and verbs,2,"""Goed"" is an overregularization error showing that the child has learned a rule for past tense formation and applies it too broadly.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement best reflects the developmental value of play in early childhood?,Play is mostly a distraction from cognitive growth.,"Play contributes to cognitive, social, emotional, and self-regulatory development.",Only physically active play matters developmentally.,Pretend play has no relation to symbolic thinking.,2,"Play supports symbolic thinking, peer interaction, emotion regulation, problem solving, and role understanding.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A parent explains, ""Hitting hurts people, so we use words instead."" This discipline style most directly promotes:",fear-based obedience,inductive reasoning and internalization,learned helplessness,passive resistance,2,Explaining the consequences of behavior supports internal moral understanding rather than simple obedience based on fear.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"In middle childhood, one important sign of concrete operational thought is the ability to:",reason only from immediate appearance,think hypothetically about possibilities never experienced,perform mental operations on tangible information,reject rules in favor of intuition,3,"Concrete operational children can reason logically about real, tangible situations, even if they still struggle with abstract hypotheticals.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A school-age child is more likely than a preschooler to succeed in which task?,distinguishing appearance from reality only through guessing,understanding seriation and transitive inference,relying exclusively on centration,confusing symbolic play with literal truth,2,"School-age children improve in logical ordering and relational reasoning, such as understanding that if A > B and B > C, then A > C.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about intelligence in middle childhood is most accurate?,"IQ is unaffected by school, health, and family context.",Intelligence is shaped by both biological and environmental influences.,Intelligence testing measures only creativity.,IQ scores are meaningless after age 7.,2,"Developmental evidence supports a combined role for heredity, schooling, health, family context, and culture in intellectual development.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Gardner's view would be most consistent with the claim that a child who struggles in arithmetic but excels in music:,cannot be intelligent,may show strength in a different form of intelligence,has low general intelligence in all domains,is displaying only crystallized intelligence,2,"Gardner proposed multiple intelligences, allowing for uneven profiles of cognitive strength across domains.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A school-age child says, ""I forgot my assignment because I didn't write it down in my notebook."" This statement most clearly reflects growth in:",object permanence,metamemory,sensorimotor coordination,animism,2,The child shows awareness of memory processes and strategies by identifying why forgetting happened.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which child is showing a mastery-oriented pattern?,one who avoids difficult tasks to protect self-worth,one who persists after errors and treats them as part of learning,one who attributes all outcomes to luck,one who refuses feedback from teachers,2,"A mastery orientation involves persistence, effort, and viewing difficulty as part of skill growth.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A school introduces inclusive education for children with disabilities. The primary rationale is that:,children with disabilities should always be separated,many children benefit from access to the general education environment with support,academic standards should be removed entirely,learning problems are caused only by teachers,2,Inclusive education aims to provide appropriate support while allowing many children with disabilities to learn in regular educational contexts.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about bullying in middle childhood is most accurate?,Bullying always involves physical aggression only.,"Bullying can include physical, verbal, relational, and now digital forms.",Bullying has no relation to adjustment.,Bullying is best explained by one single cause.,2,"Bullying is multidimensional and may involve direct aggression, social exclusion, verbal attacks, or online harassment.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A child who adapts flexibly and effectively under stress is showing:,fixation,resilience,egocentrism,role confusion,2,Resilience refers to positive adaptation despite stress or adversity.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which family factor is most likely to support positive adjustment in middle childhood?,chronic unresolved family conflict,inconsistent caregiving and harsh rejection,warm structure and predictable routines,total absence of parental monitoring,3,"Children in middle childhood generally benefit from warmth, stability, and reasonable structure in family life.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which situation best illustrates the influence of pubertal timing?,A child learns to conserve number at age 7.,An adolescent girl who matures earlier than peers faces unique social pressures.,A toddler begins to use two-word utterances.,An older adult experiences presbyopia.,2,"Pubertal timing matters because early or late maturation can affect social expectations, self-image, and adjustment.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement best reflects current knowledge of the adolescent brain?,Brain development is complete by puberty.,Development of reward and control systems contributes to heightened risk-taking in some contexts.,The adolescent brain cannot support logical thinking.,Brain maturation has no relation to emotion.,2,Adolescent risk-taking is partly linked to asynchronous brain development involving motivational and regulatory systems.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which adolescent belief best illustrates the personal fable?,"""My parents sometimes make mistakes.""","""My feelings are unique, and bad things won't happen to me.""","""People have different political views.""","""Teachers use grades to evaluate performance.""",2,The personal fable includes a sense of uniqueness and invulnerability common in adolescent egocentrism.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which behavior is the clearest sign of formal operational reasoning?,sorting objects only by visible characteristics,solving a pendulum problem by systematically varying one factor at a time,assuming taller containers always hold more,using trial and error without planning,2,Formal operational thought supports systematic hypothesis testing and control of variables.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
An adolescent argues that stealing medicine may be justified to save a life because human welfare outweighs strict rule obedience. This reasoning is best classified as:,preconventional only,conventional rule conformity only,postconventional moral reasoning,premoral impulsivity,3,Postconventional reasoning evaluates rules in light of broader ethical principles such as human welfare and justice.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about adolescent schooling is most accurate?,Academic achievement is unrelated to self-efficacy.,"School engagement is influenced by family, peers, expectations, and opportunity structures.",Dropping out is caused only by low intelligence.,Vocational planning is irrelevant during adolescence.,2,"Adolescent academic adjustment is shaped by multiple contextual and motivational factors, not by ability alone.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A teenager repeatedly sends sexually explicit messages and images through a phone. This behavior is best termed:,individuation,sexting,foreclosure,parallel play,2,Sexting refers to sending sexually explicit messages or images electronically.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which adolescent is showing identity achievement?,one who avoids exploration and commitment,one who adopts parental choices automatically,one who has explored alternatives and made commitments,one who is still actively undecided after extensive exploration,3,Identity achievement combines prior exploration with subsequent commitment.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A clinician notes that an adolescent's sense of self is strongly shaped by ethnic background, migration experience, and peer acceptance. This observation is most directly relevant to:",object permanence,identity development in context,operant conditioning only,neonatal adjustment,2,"Adolescent identity is shaped by social location, cultural background, migration, and peer dynamics.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about peer influence in adolescence is most accurate?,Peer influence is uniformly harmful.,Peer relationships can support both risk behavior and positive development.,Family influence disappears once peers become important.,Adolescents cannot resist peer norms.,2,"Peers can encourage delinquency or risky behavior, but they can also support belonging, identity, and prosocial growth.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"The idea that emerging adults often feel ""in-between,"" neither fully adolescent nor fully adult, is most closely associated with:",industry versus inferiority,Arnett's concept of emerging adulthood,disengagement theory,behavior genetics,2,"Arnett described emerging adulthood as a distinct period marked by exploration, instability, and feeling in-between.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which situation best illustrates reflective thinking in early adulthood?,A person insists that every problem has one absolute answer.,"A person weighs evidence, context, and competing values before making a decision.",A person can only solve problems with concrete materials present.,A person relies purely on authority without evaluation.,2,"Reflective thinking involves evaluating uncertainty, context, evidence, and multiple perspectives rather than accepting simple absolutes.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Sternberg's concept of practical intelligence is best illustrated by:,quickly memorizing a poem word for word,knowing how to handle real-life work demands effectively,scoring perfectly on a vocabulary quiz only,repeating an expert's instructions without understanding,2,Practical intelligence refers to adaptive know-how in everyday or occupational settings.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about health in emerging adulthood is most accurate?,Health is determined only by genes.,Lifestyle choices and social conditions strongly influence health outcomes.,Mental health problems rarely emerge in this period.,Preventive behavior has little long-term value.,2,"Health in emerging adulthood is shaped by behavior, access to care, relationships, stress, and broader social conditions as well as genetics.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A young adult who is legally married but still depends heavily on parents for daily decisions may be described as having achieved adult status in:,biological terms only,social role terms but not full psychological independence,neither social nor psychological terms,cognitive terms only,2,Adult status can be uneven; a person may meet some social markers of adulthood while remaining dependent in decision making.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"According to the triangular theory of love, consummate love includes:",intimacy only,passion only,commitment only,"intimacy, passion, and commitment",4,"Consummate love, in Sternberg's model, includes all three components: intimacy, passion, and commitment.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about cohabitation is most accurate?,It has identical meaning across cultures and individuals.,"It may function as a trial marriage, an alternative to marriage, or a pragmatic arrangement.",It is always unrelated to later relationship quality.,It is legally and psychologically identical to marriage in all respects.,2,"Cohabitation serves varied functions depending on values, goals, economics, and social context.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which factor most strongly supports adaptation to parenthood?,rigid expectations and poor communication,"adequate support, shared roles, and realistic expectations",total isolation from kin,avoiding all routine structure,2,"Parenthood is easier to navigate when adults have social support, flexible role sharing, and realistic views of demands.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement best reflects cognitive development in middle adulthood?,All abilities decline uniformly beginning at age 40.,Many adults show stability or gains in knowledge-based performance despite slower processing in some tasks.,Creativity disappears by midlife.,Expertise has no role in adult cognition.,2,"Midlife cognition often reflects a mixed pattern, with slower speed in some domains but maintained or strengthened expertise and knowledge.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which example best illustrates integrative thought?,viewing issues in rigid either-or categories,recognizing that multiple truths can coexist and must be balanced,relying only on rapid processing speed,rejecting emotional information in reasoning,2,"Integrative thought involves synthesizing contradictions, context, and competing perspectives.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A 48-year-old adult begins mentoring younger coworkers and finds this deeply meaningful. This most strongly reflects:,stagnation,generativity,despair,diffusion,2,Mentoring younger adults and contributing to future generations are core expressions of generativity in middle adulthood.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about menopause is most accurate?,It is best understood only as pathology.,"Its meaning and experience are shaped partly by biological, cultural, and personal factors.",It occurs identically in all women.,It eliminates all sexual interest permanently.,2,"Menopause is a biological transition, but symptoms, meaning, and adjustment vary with culture, expectations, and personal context.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which situation best illustrates the timing-of-events model in adult development?,A toddler learns to walk at 13 months.,A 52-year-old experiences stress after becoming a first-time parent much later than peers.,A child develops object permanence.,A fetus responds to sound.,2,The timing-of-events model emphasizes how the timing of major life events relative to social norms affects adaptation.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A midlife adult who balances work, adolescent children, and care for an aging parent is most likely dealing with:",identity diffusion,the social convoy only,overlapping family role demands,neonatal transition,3,"Midlife adults often face simultaneous responsibilities to children and aging parents, creating overlapping role demands.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement best reflects a strength of trait models in adulthood?,They explain all life events completely.,They help describe patterns of personality continuity and gradual change.,They show that personality stops changing after adolescence.,They deny any role for context.,2,Trait models are useful for describing how stable personality tendencies can persist while still changing gradually across adulthood.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which factor is most associated with positive adaptation in later adulthood?,complete social withdrawal,maintenance of meaningful activity and supportive relationships,exclusive dependence on others for all decisions,rejection of continuity with past identity,2,"Later-life adaptation is often promoted by engagement, purpose, and emotionally supportive social ties.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about life expectancy is most accurate?,It is determined solely by biological aging.,"It is influenced by genetics, health behavior, environment, and access to care.",It is identical across all social groups.,It is unrelated to public health conditions.,2,"Life expectancy reflects multiple interacting influences including biology, lifestyle, public health, and medical access.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A healthy older adult who uses calendars, lists, and structured routines to compensate for mild memory decline is demonstrating:",tertiary circular reactions,compensation in adaptation to aging,identity foreclosure,animistic thought,2,Using external aids such as lists and calendars is a compensatory strategy that supports functioning despite mild decline.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which cognitive change is most typical of normal late adulthood?,total loss of semantic memory,some slowing in processing speed with relative preservation of accumulated knowledge,disappearance of language comprehension,inability to learn anything new,2,Normal aging often involves slower processing while semantic knowledge and many learned abilities remain comparatively strong.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement best reflects socioemotional selectivity in later life?,Older adults always enlarge their social networks.,Older adults may prioritize emotionally meaningful relationships over numerous casual ties.,Emotional goals become less important with age.,Relationship quality matters less than quantity.,2,"Socioemotional selectivity theory proposes that as time is perceived as limited, emotionally rewarding relationships are prioritized.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which situation best illustrates ego integrity?,an older adult feels life was wasted and cannot accept past choices,"an older adult reviews life with acceptance, including regrets and accomplishments",an older adult refuses all reflection on the past,an older adult becomes dependent on magical thinking,2,"Ego integrity involves accepting one's life as meaningful and coherent, even while acknowledging imperfections.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about retirement is most accurate?,Retirement affects everyone the same way.,"Adjustment to retirement depends on health, finances, identity, and voluntariness of the transition.",Retirement always improves well-being immediately.,Retirement automatically causes depression.,2,"Retirement is not one uniform experience; its effects depend on resources, meaning, and whether it is chosen or forced.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A family discusses whether to continue aggressive treatment for a dying relative with irreversible illness. Which issue is most central?,emergent literacy,end-of-life decision making,social referencing,transitive inference,2,Decisions about continuing or stopping aggressive treatment in irreversible illness are central end-of-life ethical issues.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about bereavement is most accurate?,Grief responses are identical across all losses.,Bereavement includes both emotional response and adjustment to loss over time.,Mourning is unrelated to culture.,Grief is abnormal if it lasts more than one month.,2,"Bereavement refers broadly to the condition of having lost someone and the longer process of adapting, whereas grief is the emotional response.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which loss is especially likely to involve disenfranchised grief because others may minimize it?,failing an exam,miscarriage,graduating from school,changing jobs voluntarily,2,"Miscarriage is often socially minimized, which can make the grief less recognized and therefore disenfranchised.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
Which statement about near-death experiences is most accurate?,They prove a single religious interpretation.,"They are reported by some people close to death, but interpretation remains debated.",They occur in every dying person.,They have no psychological significance.,2,"Near-death experiences are reported by some individuals, but their meaning and causes remain open to differing interpretations.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
"A psychologist is asked by a school to release a student's raw test responses and notes directly to a teacher for classroom curiosity. Under ethical standards, the best response is to:",release all materials because the teacher works with the child,release raw data only if the teacher promises confidentiality,refuse release because raw test data should not be given to unauthorized persons without proper basis,post a summary in the faculty group chat instead,3,Ethical assessment standards protect raw test data from release to unauthorized persons; teachers may receive explained results but not unrestricted raw materials or notes.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A psychometrician is assigned to administer an assessment in a language the examinee barely understands. The most ethical action is to:,proceed because standardized instructions must never be adjusted,administer the tool anyway and omit concerns in the report,use an assessment appropriate to the client's language and characteristics or recommend proper referral,ask a relative to translate sensitive items without safeguards,3,Assessment tools must be appropriate to the client's language and relevant characteristics; otherwise validity and fairness are compromised.,Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
A supervising psychologist delegates testing tasks to a psychometrician. Which condition is ethically required?,Delegated work may exceed the subordinate's competence if the clinic is busy.,Clients must be informed that delegated tasks are being performed and may choose to continue or reschedule.,Supervision is optional when standardized tests are used.,The psychometrician may independently practice psychotherapy if rapport is established.,2,"Ethical delegation requires competence, adequate supervision, and informing clients that tasks are delegated, including giving them a choice.",Medium,Developmental Psychology,Chapter 11,Chapter 11 Set 11
