"Question","Choice 1","Choice 2","Choice 3","Choice 4","Correct Answer (1-4)","Explanation","Difficulty","Subject","Chapter","Topic"
"Which chromosomal condition results from an extra chromosome 21?","Turner syndrome","Klinefelter syndrome","Down syndrome","Fragile X syndrome","3","Down syndrome is caused by trisomy 21.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A trait influenced by multiple genes, such as skin color or height, best illustrates:","dominant inheritance","recessive inheritance","polygenic inheritance","sex-linked inheritance","3","Polygenic inheritance involves multiple genes contributing to a single trait.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which maternal factor poses the greatest risk for fetal alcohol spectrum disorders?","Low calcium intake","Alcohol consumption during pregnancy","Moderate maternal exercise","Delayed clamping of the umbilical cord","2","Alcohol exposure during pregnancy directly causes fetal alcohol spectrum disorders.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"The principle that development proceeds from the head downward is called:","proximodistal","cephalocaudal","hierarchical","maturational lag","2","Cephalocaudal development describes growth from head to tail.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A newborn turns toward a nipple when the cheek is stroked. This is the:","Babinski reflex","Moro reflex","rooting reflex","grasping reflex","3","The rooting reflex helps infants locate food by turning toward touch on the cheek.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which infant is at greatest developmental risk?","A full-term infant weighing 3.2 kilograms","A postmature infant with no complications","A low-birth-weight infant born preterm","A newborn with strong reflexes and average Apgar score","3","Preterm low-birth-weight infants have increased risk for developmental complications.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"According to dynamic systems theory, motor development:","unfolds solely from genetic programming","is unrelated to perception and motivation","emerges from the interaction of multiple systems","depends only on neuromuscular maturation","3","Motor development arises from interactions among physical, cognitive, and environmental factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Habituation in infancy refers to:","distress when a caregiver leaves","decreased response after repeated exposure to a stimulus","repeating an adult's exact movements","conditioning through reinforcement","2","Habituation is a basic learning process involving reduced response to familiar stimuli.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Object permanence refers to the understanding that:","symbols can stand for real objects","hidden objects continue to exist","objects move only when touched","actions cause predictable outcomes","2","Object permanence is the awareness that objects exist even when out of sight.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A toddler calls all four-legged animals ""dog."" This is an example of:","underextension","overregularization","overextension","telegraphic speech","3","Overextension occurs when a word is applied too broadly.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Chomsky's major contribution to language development was the proposal that:","language is learned only through imitation","language acquisition is supported by an innate predisposition","grammar develops after formal schooling","reinforcement is sufficient to explain syntax","2","Chomsky proposed an inborn capacity for language acquisition.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which infant behavior best reflects social referencing?","Crying when hungry","Looking to a caregiver's facial expression before approaching an unfamiliar object","Repeating a new word several times","Searching for a hidden toy","2","Social referencing involves using others' emotional cues to guide behavior.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"In Erikson's first psychosocial crisis, healthy development leads primarily to:","autonomy","initiative","trust","identity","3","Consistent caregiving fosters a sense of trust in infancy.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Ainsworth's securely attached infant is most likely to:","ignore the caregiver during reunion","be distressed by separation and comforted upon reunion","show no preference between caregiver and stranger","resist contact and remain inconsolable","2","Secure attachment involves distress upon separation and comfort upon reunion.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Temperament refers to:","learned moral standards","stable individual differences in emotional reactivity and self-regulation","attachment classifications","parental discipline strategies","2","Temperament describes biologically based emotional and behavioral tendencies.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A toddler insists on feeding herself and says ""No!"" frequently. This behavior is most consistent with Erikson's stage of:","trust versus mistrust","autonomy versus shame and doubt","initiative versus guilt","industry versus inferiority","2","Toddlerhood is characterized by striving for independence and self-control, reflecting autonomy.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"In early childhood, egocentrism means that a child:","is selfish and intentionally rude","cannot take another person's perspective easily","is unable to use symbols","lacks memory for past events","2","Egocentrism refers to difficulty in perspective-taking, not selfish intent.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Conservation failure in preschoolers most strongly suggests difficulty with:","reversibility","object permanence","deferred imitation","operant conditioning","1","Preschoolers struggle to mentally reverse actions, leading to conservation errors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Theory of mind refers to the developing ability to:","memorize abstract rules","understand that others have mental states different from one's own","distinguish fantasy from play","classify objects into hierarchies","2","Theory of mind involves recognizing others' thoughts, beliefs, and intentions.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which type of play involves children acting out imaginary roles?","Functional play","Constructive play","Dramatic play","Parallel play","3","Dramatic play involves role-playing and imagination.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"According to Baumrind, which parenting style combines warmth with firm control and explanation?","Authoritarian","Authoritative","Permissive","Neglectful","2","Authoritative parenting balances responsiveness and demandingness.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A preschooler avoids touching a hot stove because she has internalized parental standards. This reflects early:","sensorimotor coordination","social referencing","conscience development","identity achievement","3","Internalizing rules and standards reflects emerging conscience.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Middle childhood is marked by Piaget's stage of:","preoperational thought","formal operations","concrete operations","sensorimotor intelligence","3","Children develop logical thinking about concrete objects during this stage.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which skill typically improves markedly in middle childhood?","Object permanence","Hypothetical-deductive reasoning","Conservation and classification","Symbolic function","3","These logical skills improve during concrete operations.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Metamemory refers to:","unconscious memory traces","memory for motor routines","knowledge about one's own memory processes","loss of autobiographical memory","3","Metamemory involves awareness and control of memory strategies.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A child remembers the planets by using a rhyme. This is an example of:","habituation","mnemonic strategy","centration","transductive reasoning","2","Mnemonics aid memory through structured techniques.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which child is most likely to show industry according to Erikson?","One who avoids all school tasks","One who develops competence through productive work","One who becomes highly dependent on parents","One who rejects rules as meaningless","2","Industry involves mastering skills and feeling competent.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A child who is frequently chosen as a playmate because she is cooperative and helpful is likely considered:","neglected","rejected-aggressive","popular-prosocial","controversial","3","Popular-prosocial children are liked due to positive social behavior.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Bullying differs from ordinary conflict because bullying involves:","only physical aggression","mutual hostility of equal intensity","repeated aggression with a power imbalance","accidental harm without intent","3","Bullying includes repetition and imbalance of power.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which factor is most strongly associated with resilience in school-age children?","Complete absence of stress","At least one stable, supportive relationship","High socioeconomic status only","Superior physical strength","2","Supportive relationships are key protective factors for resilience.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Puberty is triggered primarily by changes in the:","digestive and respiratory systems","endocrine system","skeletal system alone","immune system","2","Hormonal changes regulate the onset of puberty.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Early-maturing girls are at elevated risk for which outcome?","Improved emotional adjustment in all cases","Lower peer attention","Internalizing and externalizing problems","Delayed body image concerns","3","Early maturation can increase psychological and behavioral risks.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Piaget proposed that adolescents enter formal operational thought, characterized by:","inability to reason beyond direct experience","hypothetical and abstract reasoning","dependence on trial-and-error only","loss of concrete reasoning","2","Formal operations enable abstract and hypothetical thinking.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Adolescent egocentrism includes the personal fable, which refers to:","belief that adults are always wrong","difficulty with conservation tasks","sense of uniqueness and invulnerability","fear of imaginary creatures","3","The personal fable involves beliefs of uniqueness and invincibility.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Kohlberg's theory of moral development focuses primarily on:","emotional attachment","moral reasoning","unconscious guilt","conditioned compliance","2","Kohlberg emphasized how individuals reason about moral issues.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Gilligan criticized Kohlberg for:","ignoring biological maturation","overemphasizing punishment","neglecting a care orientation in moral thought","rejecting all stage theories","3","Gilligan argued for inclusion of care-based moral reasoning.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Marcia's identity statuses are based on the dimensions of:","attachment and temperament","crisis and commitment","heredity and environment","autonomy and shame","2","Identity status depends on exploration and commitment.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"An adolescent who has explored options and made personal choices about beliefs and vocation is in:","identity diffusion","foreclosure","moratorium","identity achievement","4","Identity achievement follows exploration and commitment.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which parental style is generally associated with the most favorable adolescent outcomes?","Harsh authoritarian control","Indifferent noninvolvement","Authoritative monitoring and responsiveness","Inconsistent permissiveness","3","This style promotes competence and well-being.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Juvenile delinquency is best understood as the result of:","a single inherited criminal trait","interaction among biological, family, peer, and community influences","normal adolescent experimentation only","poor academic ability alone","2","Delinquency arises from multiple interacting factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Emerging adulthood is characterized by:","immediate assumption of stable adult roles for most people","identity exploration and instability for many individuals","universal marriage and parenthood by age 21","absence of self-focus","2","Emerging adulthood involves exploration in identity, relationships, and career, often accompanied by instability.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Postformal thought is often described as:","rigid and absolutist","exclusively logical and context-free","more flexible, practical, and relativistic","identical to concrete operations","3","Postformal thought integrates logic with real-world complexity and context.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Schaie's life-span model proposes that many adults gradually shift from acquiring knowledge to:","avoiding all intellectual activity","applying knowledge to practical goals","abandoning problem solving","relying only on intuition","2","Adults increasingly use knowledge for real-life responsibilities.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Sternberg's triarchic view of intelligence includes:","linguistic, spatial, and bodily intelligence","fluid, crystallized, and implicit memory","analytical, creative, and practical intelligence","symbolic, social, and emotional intelligence","3","Sternberg identified three components of intelligence: analytical, creative, and practical.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which pattern is most typical of health in emerging and young adulthood?","Highest prevalence of chronic disability across the life span","Peak physical functioning with substantial influence of lifestyle choices","Minimal influence of behavior on health outcomes","Uniform mental health across all individuals","2","Physical health peaks in this stage, but lifestyle choices strongly influence outcomes.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which issue is a common developmental task in emerging adulthood?","Mastery of sensorimotor coordination","Establishing intimate relationships while consolidating identity","Achieving ego integrity","Resolving separation anxiety from strangers","2","This period involves identity formation and building close relationships.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"In middle adulthood, fluid intelligence generally:","rises steadily without exception","remains unaffected by age","tends to decline more than crystallized intelligence","replaces expertise","3","Fluid intelligence declines with age, while crystallized intelligence is more stable.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Crystallized intelligence refers to:","speed of novel problem solving","accumulated knowledge and verbal skill","nonverbal reasoning independent of culture","working memory span only","2","Crystallized intelligence reflects learned knowledge and experience.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Expertise in middle adulthood often compensates for declines in speed because experts:","stop using memory","rely on richer knowledge structures and efficient strategies","avoid complex tasks","use only rote memorization","2","Experts use experience and efficient strategies to maintain performance.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Erikson described the central psychosocial issue of middle adulthood as:","trust versus mistrust","identity versus role confusion","generativity versus stagnation","integrity versus despair","3","Middle adulthood focuses on contributing to society and future generations.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Generativity is best defined as:","preoccupation with one's own mortality","concern for guiding the next generation","withdrawal from productive roles","rejection of family obligations","2","Generativity involves nurturing and guiding others.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which event best reflects the ""social clock"" concept?","Biologically timed puberty","Social expectations regarding when life events should occur","A personal trauma unrelated to age norms","Genetic programming of menopause","2","The social clock refers to culturally expected timing of life events.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"The ""empty nest"" is most accurately described as:","uniformly harmful to marital satisfaction","always associated with depression","a transition whose effects vary by context and prior family relationships","evidence of failed parenting","3","Its impact depends on individual and relational factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Midlife well-being is most likely when adults:","avoid all role obligations","rigidly resist change","balance self-acceptance, purpose, and meaningful relationships","disengage from family and work","3","Well-being is associated with balance and meaningful engagement.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"The term presbyopia refers to age-related:","hearing loss","difficulty focusing on near objects","loss of smell","memory impairment","2","Presbyopia affects near vision due to lens changes.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Menopause refers to:","any mood change in midlife","end of fertility marked by permanent cessation of menstruation","all reproductive changes beginning at puberty","male decline in testosterone","2","Menopause marks the end of reproductive capability.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which statement about the ""midlife crisis"" is most accurate?","It is a universal developmental event.","It affects only men.","It is better viewed as a possible experience for some, not an inevitable stage for all.","It is synonymous with stagnation.","3","Not all individuals experience a midlife crisis.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"In late adulthood, the strongest predictors of longevity include:","only inherited traits","lifestyle, health care, and social conditions in addition to genetics","intelligence alone","birth order alone","2","Longevity is influenced by multiple interacting factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"The term young-old generally refers to adults:","45 to 59","60 to 64","65 to 74","75 to 84","3","Young-old refers to early older adulthood.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which theory proposes that aging results from accumulated random damage to biological systems?","Psychoanalytic theory","Variable-rate or damage theories","Social clock theory","Activity theory","2","These theories explain aging as cumulative biological damage.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which change in memory is most commonly associated with normal aging?","Severe loss of procedural memory in all older adults","Decline in working memory and processing speed","Complete inability to learn new information","Loss of semantic memory before sensory changes","2","Aging commonly affects speed and working memory.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Wisdom in late adulthood is best understood as:","perfect recall of facts","high IQ alone","expert knowledge about life and good judgment in human affairs","emotional detachment from others","3","Wisdom involves practical judgment and life understanding.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Erikson's final psychosocial crisis centers on:","initiative versus guilt","identity versus role confusion","generativity versus stagnation","ego integrity versus despair","4","This stage involves reflecting on life with acceptance or regret.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Selective optimization with compensation refers to:","avoiding all difficult tasks in old age","maximizing youth-oriented goals only","focusing on priorities, strengthening abilities, and offsetting losses","depending entirely on others for functioning","3","It is a strategy for adapting to aging-related changes.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which statement about retirement is most accurate?","Retirement has identical effects on everyone.","Retirement adjustment depends on health, finances, voluntariness, and social roles.","Retirement inevitably causes depression.","Retirement eliminates developmental challenges.","2","Adjustment varies depending on multiple personal and contextual factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Widowhood in late adulthood is often:","insignificant after long marriages","a major transition influenced by gender, support, and prior relationship quality","always more difficult for women than men in every context","unrelated to health","2","Widowhood effects vary based on individual and relational factors.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Disengagement theory proposes that healthy aging involves:","increasing social participation at all costs","mutual withdrawal between older adults and society","greater attachment in all roles","stronger adolescent identity exploration","2","The theory suggests reduced interaction between individuals and society in aging.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Activity theory would predict higher well-being in old age when people:","maintain meaningful engagement","avoid social roles","reject adaptation","minimize contact with others","1","Continued activity supports satisfaction in aging.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which statement about grief is most accurate?","All bereaved persons pass through identical stages in fixed order.","Grief reactions vary widely across persons and cultures.","Absence of crying means absence of grief.","Grief is pathological unless it resolves within one month.","2","Grief is highly individualized and culturally influenced.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Life review in late adulthood can be developmentally useful because it:","prevents all regret","supports meaning-making and integration of one's life story","replaces current relationships","eliminates fear of death automatically","2","Life review helps integrate experiences and find meaning.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which situation best illustrates ambiguous loss?","Death of an elderly parent after prolonged illness","Loss of a spouse through divorce with clear legal closure","A family member missing for years with unknown status","Planned retirement from work","3","Ambiguous loss lacks closure and certainty.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which statement best reflects current developmental understanding of death concepts?","Children understand death fully from infancy.","Understanding of death changes with cognitive development and experience.","Adolescents rarely think about death.","Older adults fear death in exactly the same way as children.","2","Death concepts evolve across development.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Under RA 10029, which statement is most accurate?","Anyone with a psychology degree may independently practice as a psychologist.","Only licensed and registered psychologists and psychometricians may legally practice within the scope allowed by law.","Psychometricians may independently provide all forms of psychotherapy.","Registration is optional if supervision is available.","2","RA 10029 regulates the legal practice of psychology professions.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A registered psychometrician is asked to conduct psychotherapy for a client with major depressive symptoms in a private clinic. The most ethical response is to:","accept because any psychology professional may provide therapy","accept if the client signs informed consent","decline and refer to a qualified licensed psychologist or other authorized mental health professional","proceed only if sessions are brief","3","Practitioners must work within their legal scope and competence.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A psychometrician is instructed by a school principal to interpret a complex neuropsychological battery beyond his training. Based on ethical standards on competence, he should:","interpret it anyway to satisfy the school","guess cautiously and omit uncertain findings","refuse or seek proper supervision/referral because the task is beyond his competence","allow a teacher to interpret the profile","3","Ethical practice requires working only within one's competence.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which practice best protects confidentiality in telepsychology?","Conducting sessions on any available public platform","Storing records on an unsecured shared device","Informing clients of privacy risks and using reasonable safeguards such as passwords and secure transmission","Sending raw test results through social media chat without warning","3","Ethical practice requires safeguarding confidentiality, especially in digital contexts.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A client discloses imminent intent to seriously harm another person. Ethical handling of confidentiality requires the practitioner to:","keep the disclosure secret under all circumstances","release all records publicly","take protective action and disclose only information necessary to appropriate persons or authorities","ignore the threat because prediction is uncertain","3","Confidentiality may be breached to prevent serious harm.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A practitioner is asked by a company to assess employees. Before beginning, the most important clarification is:","what snacks will be provided during testing","who the client is, the purpose of the service, probable uses of information, and limits of confidentiality","whether all employees like psychological tests","whether the company will permit retesting for everyone regardless of need","2","Clarifying roles and limits is essential in third-party services.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which is the clearest example of a harmful multiple relationship?","Teaching a large lecture class at a university","Conducting therapy for one's close romantic partner","Referring a client to a physician","Consulting with another psychologist about a difficult case while protecting identity","2","Dual relationships that impair objectivity and risk harm are unethical.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A practitioner experiences serious personal distress that is impairing judgment and concentration at work. The ethical standard most directly requires the practitioner to:","continue working without change","conceal the problem to protect reputation","seek consultation or assistance and consider limiting, suspending, or terminating duties if needed","transfer all clients to unqualified staff immediately","3","Practitioners must address personal issues that impair competence.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"In emergencies, a psychology practitioner who lacks full specialty competence may provide temporary assistance only if the practitioner:","continues indefinitely without referral","gives services recklessly because need exists","proceeds cautiously, provides needed support, and discontinues once competent ongoing care becomes available","ignores informed consent","3","Emergency services must be temporary and responsible.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A psychometrician allows an untrained office assistant to administer and score psychological tests alone. This is unethical primarily because it violates standards on:","informed consent only","delegation of work and assessment by unqualified persons","public statements only","continuing professional development only","2","Tasks must only be delegated to qualified individuals.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which public statement is ethically acceptable?","""Guaranteed cure for trauma in one session.""","""Top psychologist in the country--100% success rate.""","""Services include psychological assessment and consultation; fees and credentials are available upon request.""","""Our methods work better than all other clinics.""","3","Ethical statements must be accurate and non-deceptive.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A practitioner wants to use a client's case in a lecture. Ethical practice requires:","use of the material freely because teaching is beneficial","disclosure of personally identifiable details if the audience is professional","written consent, legal authorization, or adequate disguise of identity","verbal mention without consent as long as no recording exists","3","Confidentiality must be protected when using case material.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which action is most consistent with ethical reporting of another practitioner's violation?","Filing a complaint based on rumor alone","Ignoring substantial harm to avoid conflict","Attempting informal resolution when appropriate and reporting to proper authorities when substantial harm is likely","Posting allegations on social media first","3","Ethical response involves appropriate action based on severity.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A court orders a psychological evaluation. Before proceeding, the evaluator should inform the examinee about:","only the date of the appointment","the evaluator's personal beliefs","the nature of services, that the evaluation is court-ordered, and the limits of confidentiality","the likely court decision","3","Clients must be informed about service conditions and confidentiality.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which action best reflects the duty to minimize invasion of privacy?","Sharing full client history in staff lounges","Revealing only information relevant to the professional purpose","Discussing all details with family members for support","Keeping no records at all","2","Only necessary information should be disclosed.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A psychometrician receives raw test data from a hospital and wants to send it to a friend for practice interpretation. The most ethical response is to:","send it if names are removed incompletely","send it because colleagues may always access test data","refrain unless proper authorization exists and disclosure is limited to qualified persons for legitimate purposes","post selected protocols in a closed online study group","3","Confidential data must only be shared with proper authorization.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"Which statement best reflects ethical obligations regarding competence maintenance?","Once licensed, further professional development is optional","Competence is maintained through ongoing education, training, and other CPD activities","Experience automatically replaces the need for updated learning","CPD applies only to psychologists, not psychometricians","2","Continuous professional development ensures competence.","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
"A psychometrician is supervised in a clinic and asked to explain assessment results to a client. Which response is most appropriate?","Provide interpretations only within competence and role, with proper supervision when needed","Improvise diagnostic conclusions to sound confident","Withhold all feedback permanently","Give the raw manual and ask the client to interpret the profile alone","1","Ethical practice requires staying within competence and supervision boundaries. DEVELOPMENTAL PSYCHOLOGY EXAM 6","Medium","Developmental Psychology","Chapter 5 Set 5","Chapter 5 Set 5"
