Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"To compare a student's performance on a Math test (Mean=50, SD=5) and an English test (Mean=80, SD=10), which statistic is most appropriate-",Pearson r,Raw scores,"Standard scores (e.g., Z-scores)",Percentile ranks,3,"You cannot compare raw scores from different tests directly because they have different scales. Standard Scores ($Z$ or $T$) ""normalize"" the scores to a common scale for comparison.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
What happens to the mean if you add a constant value of 5 to every raw score in a distribution-,The mean remains the same.,The mean increases by 5.,The mean is multiplied by 5.,The mean becomes unpredictable.,3,"Adding a constant to every score increases the mean by that same constant. However, the standard deviation remains unchanged.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Which of the following represents the ""coefficient of determination""-",$r$,$r^2$,$\sigma$,$\Sigma X$,3,The Coefficient of Determination ($r^2$) tells us how much of the variance in one variable is predictable from the other.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A test developer finds that their test has a kurtosis value of -1.50. The distribution is likely:,Normal,High and narrow,Flat and spread out,Skewed to the left,3,A negative kurtosis value indicates a Platykurtic (flat) distribution.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"In the context of psychological testing, ""standardization"" refers to:",Making the test as difficult as possible.,"Consistency in administration, scoring, and interpretation.",Ensuring everyone passes the test.,Translating the test into multiple languages.,3,"Standardization ensures that the test is given under the same conditions (time, instructions, environment) so that scores are comparable.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Which of the following is a ""measure of relative position""-",Standard Deviation,Mean,Percentile,Variance,3,Percentiles and Standard Scores describe where a score stands in relation to the rest of the distribution.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"When interpreting a correlation of $0.00$, the psychometrician should conclude:",There is a perfect relationship.,There is no linear relationship between the variables.,The variables are identical.,The test is invalid.,3,An $r = 0.00$ indicates the absence of a linear relationship.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A Psychometrician shares a client's test results with a third party without a signed waiver. This is a violation of:,Competence,Confidentiality,Test Security,Informed Consent,3,The PAP Code of Ethics mandates that results are only released to authorized persons. Sharing without consent is a breach of Confidentiality.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A distribution has a mean of 100 and a median of 115. The distribution is:,Positively skewed,Negatively skewed,Symmetrical,Leptokurtic,3,"When the Mean < Median, the distribution is Negatively Skewed. The mean is being ""pulled down"" by low-scoring outliers.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Which of the following is considered a nonlinear transformation of a score-,Z-score,T-score,Percentile Rank,Stanine (based on Z),3,"Percentile Ranks are nonlinear because they ""stretch"" the distribution. The distance between percentiles is not equal across the curve (they bunch up in the middle).",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Stanine scores range from 1 to 9. What is the mean and standard deviation of a stanine distribution-,"Mean = 50, SD = 10","Mean = 100, SD = 15","Mean = 5, SD = 2","Mean = 0, SD = 1",3,Stanines (Standard Nines) divide the distribution into 9 units. They have a Mean of 5 and an SD of approximately 2.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A researcher wants to know if there is a significant difference between the board exam ratings of Male and Female examinees. Which statistic is most appropriate-,Pearson r,T-test,Spearman Rho,Chi-Square,3,A T-test is used to determine if there is a significant difference between the means of two groups (Male vs. Female).,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Which of the following is NOT a characteristic of the Normal Curve-,Asymptotic to the abscissa,Bimodal,Symmetrical,Total area under the curve is 100% (or 1.0),3,"The normal curve is unimodal (one peak). A bimodal curve has two peaks and is not a ""normal"" distribution.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"If a Psychometrician notices that the test booklets are leaking online, what is their ethical obligation-",Ignore it if they didn't leak it.,Notify the PRC or the test publisher immediately to maintain test security.,Use the leaked items to help their students pass.,Change the scoring key instead.,3,"Test Security is a primary ethical duty. If items are compromised, the psychometrician must act to protect the integrity of the profession and the tool.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
The square root of the variance is the:,Range,Average deviation,Standard deviation,Interquartile range,3,"By definition, the Standard Deviation is the square root of the variance ($SD = \sqrt{V}$).",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A score at the 1st quartile ($Q_1$) is equivalent to which percentile-,10th percentile,25th percentile,50th percentile,75th percentile,3,Quartiles divide data into four 25% chunks. $Q_1$ is the cutoff for the bottom 25%.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"In a scatterplot, if the dots form a straight line from the bottom left to the top right, the correlation is:",Perfect Positive,Perfect Negative,Zero,Curvilinear,3,"A straight line from bottom-left to top-right indicates that as one variable increases, the other also increases perfectly ($r = +1.0$).",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Which of the following defines ""Informed Consent"" in assessment-",Forcing the client to take the test.,"Explaining the nature, purpose, and results of the test to the client.",Keeping the test results secret from the client.,Allowing the client to score their own test.,3,"Informed Consent involves ensuring the client understands why they are being tested, what will happen, and how the data will be used.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A Z-score of 0.00 means the individual's score is:,The lowest in the group.,Exactly at the mean.,1 standard deviation above the mean.,Invalid.,3,"Since $Z = (X - Mean) / SD$, a $Z$-score of 0 means the raw score ($X$) is equal to the Mean.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"Which scale of measurement allows for categorization only (e.g., Gender, Religion)-",Nominal,Ordinal,Interval,Ratio,3,"Nominal scales are for classification only. There is no logical order or math involved in ""Male"" vs ""Female.""",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"A test manual states that the test is intended for ""Adults aged 1860."" A psychometrician uses it on a 12-year-old. This is a violation of:",Confidentiality,Technical adequacy and proper test use,Integrity,Social Justice,3,Ethical standards require that tests be used only with the populations for which they were normed and validated. Using an adult test on a child yields meaningless and potentially harmful data.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"The ""Standard Error of Measurement"" (SEM) is most closely related to:",Validity,Reliability,Norming,Skewness,3,The Standard Error of Measurement (SEM) is a statistic that helps estimate the amount of error in an individual's score. It is directly derived from the test's Reliability.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"In a distribution of scores, the value that occurs most frequently is the:",Mean,Median,Mode,Range,3,The Mode is defined as the most frequently occurring value in a data set.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
A psychometrician is interpreting a score for a client. The client's score is at the 99th percentile. How should this be explained-,You failed the test.,You performed better than 99% of the people who took the test.,You got 99 questions correct.,Your score is 99% accurate.,3,The 99th percentile means the person scored at or above 99% of the norming group. It is a very high score.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"If the variance of a set of scores is 16, what is the standard deviation-",2,4,8,256,3,$SD = \sqrt{Variance}$. $\sqrt{16} = 4$.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
Which of the following is a requirement for a Psychometrician to practice in the Philippines-,A Master's Degree,A valid PRC license and registration,10 years of experience,Approval from a psychiatrist,3,"To legally practice as a Psychometrician in the Philippines, one must pass the board exam and maintain a valid PRC license.",Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
"When a test measures what it purports to measure, it is said to be:",Reliable,Valid,Standardized,Normed,3,Validity is the degree to which a test measures what it claims to measure.,Medium,Psychological Assessment (Special),Chapter 3,Statistics and Professional Foundations
