Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"Which reference source is most likely to contain ""highly critical reviews"" of a test-",A publisher's test catalogue,A test manual,The Mental Measurements Yearbook,The test protocol,3,"The Mental Measurements Yearbook (Buros) provides authoritative, independent, and often critical reviews of tests.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
Which organization is the world's largest private measurement institution and is responsible for the GRE and SAT-,Buros Institute,Educational Testing Service (ETS),American Psychological Association (APA),Psychological Corporation,2,Educational Testing Service (ETS) is the world's largest private measurement institution.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
Historical records indicate that civil service testing for government jobs first emerged in which country-,Ancient Greece,United States,China,Germany,3,China is believed to have started civil service testing as early as 2200 b.c.e..,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Who is credited with kindling interest in research on ""individual differences"" and pioneering the use of the ""coefficient of correlation""-",Wilhelm Wundt,Francis Galton,Charles Darwin,Karl Pearson,2,Francis Galton focused on individual differences and pioneered the concept of the coefficient of correlation.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"In contrast to Galton, Wilhelm Wundt focused his research on:",How people were different.,How people were similar.,The heritability of intelligence.,The development of the 16PF.,2,"Unlike Galton, Wundt focused on how people were similar, viewing individual differences as error.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Which student of Wundt coined the term ""mental test"" in 1890-",James McKeen Cattell,Lightner Witmer,Emil Kraepelin,Victor Henri,1,"James McKeen Cattell coined the term ""mental test"" in an 1890 publication.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Who is considered the ""founder of clinical psychology"" for establishing the first psychological clinic in 1896-",Alfred Binet,Robert Woodworth,Lightner Witmer,Sigmund Freud,3,Lightner Witmer is cited as the founder of clinical psychology for establishing the first psychological clinic.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"The ""Woodworth Psychoneurotic Inventory"" is significant in history because it was:",The first intelligence test for children.,The first widely used self-report personality test.,A disguised test for military strategy.,A measure of sensory-motor skills.,2,The Woodworth Psychoneurotic Inventory was the first widely used self-report test of personality.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"During WWI, the US Military used ""Army Beta"" specifically for:",Literate recruits,Illiterate recruits,Officers only,Recruits with physical disabilities,2,Army Beta was developed for illiterate recruits during WWI.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
A test that can be adequately administered and interpreted using only the manual and a general orientation is classified as:,Level A,Level B,Level C,Level D,1,Level A tests can be administered and interpreted with the aid of the manual and a general orientation.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Under the Code of Ethics and RA 10029, which of the following is a ""Level B"" requirement for a test user-",A doctorate in psychology.,Technical knowledge of test construction and supporting psychological studies.,No formal training required other than reading the manual.,Only a licensed physician can administer it.,2,"Level B tests require technical knowledge of test construction, use, and supporting psychological studies.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"""Informed Consent"" for psychological testing should generally specify all the following EXCEPT:",The general purpose of the testing.,The specific reason it is being undertaken.,The exact correct answers to the test items.,The general type of instruments to be administered.,3,"Consent should include the purpose, reasons, and type of instruments, but never the correct answers, as this compromises test security.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Which term refers to a ""legal and ethical duty"" to keep client communications private, specifically protecting clients from disclosure in ""judicial proceedings""-",Confidentiality,Privilege,Professionalism,Discretion,2,"Privilege protects clients from disclosure in ""judicial proceedings"" and belongs to the client.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"If a psychometrician is ordered by a court to disclose confidential test records, and the client has not waived their privilege, what is the general ethical priority-","Always refuse, even if it leads to jail.",Disclose immediately to avoid legal trouble.,Inform the court of the ethical duty to maintain confidentiality and only disclose if legally mandated.,Delete the records so they cannot be subpoenaed.,3,Psychologists have an ethical duty to keep communications confidential but must recognize that privilege is not absolute and court orders can mandate disclosure.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"In the Philippines, the ""Psychology Act of 2009"" is also known as:",RA 9258,RA 10029,RA 7160,RA 10173,2,The Psychology Act of 2009 in the Philippines is RA 10029.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"Which ethical principle dictates that psychologists use ""deception"" in research only when absolutely necessary and requires a full debriefing afterward-",Right to privacy,Right to be informed of results,Ethical use of deception,Minimal stress principle,3,Ethical guidelines state that deception is only used if necessary and requires full debriefing afterward.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"A test that yields a numerical score representing an ""approximation"" of a trait because it uses a continuous scale (where a score of 0 does not mean the total absence of the trait) is most likely an:",Nominal scale,Ordinal scale,Interval scale,Ratio scale,3,"Interval scales (like IQ) have no absolute zero, so a score is an approximation and 0 doesn't mean ""no intelligence"".",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"""A distinguishable, relatively enduring way in which one individual varies from another"" is the definition of a:",State,Trait,Type,Construct,2,"A trait is defined as a distinguishable, relatively enduring way in which individuals vary.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"According to the Cohen text, a ""construct"" is:",An observable physical organ.,"An informed, scientific concept developed to describe or explain behavior.",A raw score that has not been converted.,A test that lacks reliability.,2,"A construct is an informed, scientific concept developed to describe or explain behavior.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"A ""Good Test"" must primarily be ""psychometrically sound,"" which refers to:",Being inexpensive and quick to score.,Having clear instructions for the testtaker.,Reliability and validity.,Being available in multiple languages.,3,Psychometric soundness refers to the key aspects of reliability and validity.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"""Error variance"" in testing refers to:",The mistakes made by the test developer.,The component of a test score attributable to sources other than the trait being measured.,The total score achieved by the testtaker.,The percentage of items the testtaker got wrong.,2,Error refers to all factors on a test score beyond those specifically measured by the test.,Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
"If a psychometrician is assessing a client from a different cultural background and chooses a ""culture-specific"" test, they are attempting to:",Isolate the cultural variable to ensure fairness.,Discriminate against the client.,Increase the difficulty of the test.,Skip the informed consent process.,1,"Early developers used culture-specific tests to ""isolate"" the cultural variable in mental ability tests.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
Which of the following is NOT a right of a testtaker according to ethical standards-,The right to be informed of test findings.,The right to the least distressing items.,The right to keep the test protocol (the actual test booklet) after the exam.,The right to informed consent.,3,"Testtakers have the right to findings and consent, but not to keep the test protocols (booklets/manuals), as this violates test security.",Medium,Psychological Assessment (Special),Chapter 1-2,Testing and Assessment Foundations
