Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer (1-4),Explanation,Difficulty,Subject,Chapter,Topic
"Under the PAP Code and RA 10029, which action is outside the regular scope of a psychometrician?",Conducting preparatory intake interviews,Interpreting results of specified tests and preparing a written report under supervision,Independent practice of therapy as a routine service,"Administering valid, reliable, and appropriate assessment tools",3,Psychometricians are limited to assessment-related roles and cannot independently conduct therapy.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"A psychometrician is asked by an HR manager to email raw test protocols and item responses to several untrained supervisors ""for transparency."" What is the best ethical response?",Send everything because supervisors are part of management,Release only raw scores but not interpretations,"Decline, because raw test data and materials should not be released to unqualified persons except when legally required",Post the results in a shared company folder so all parties are informed,3,Ethical standards require protecting test materials and ensuring they are only accessed by qualified individuals.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"Before administering an assessment online to an applicant, the most ethical initial step is to:",begin immediately to save time,"obtain informed consent and explain limits of confidentiality, risks, and implications of connectivity problems",ask the applicant to waive all future questions,provide only the test name and no further explanation,2,"Informed consent is essential, especially in online assessments where risks must be clearly explained.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"A psychometrician is newly assigned to administer a test in a language not well suited to the client, using photocopied materials because the originals are unavailable. The most ethical action is to:",proceed because speed matters more than standardization,proceed if the client agrees verbally,avoid using inappropriate or unauthorized materials and use only tests appropriate to the client and original test materials,let an untrained HR assistant administer the test instead,3,"Ethical practice requires using appropriate, standardized, and authorized testing materials suitable for the client.",medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
"A psychometrician working in a company is pressured by management to perform psychotherapy for distressed employees ""because you already know the test results."" Based on the law and ethics, the best response is to:",comply because helping always overrides role boundaries,provide psychotherapy as long as it is brief,"explain role limitations, avoid practicing therapy beyond scope, and refer to or work under the appropriate licensed psychologist",offer therapy but omit documentation,3,Ethical and legal standards require psychometricians to remain within scope and refer clients to qualified professionals when necessary.,medium,Industrial/Organizational Psychology,Chapter 1,Chapter 1 Overview
Which statement best captures the primary purpose of job analysis in I/O psychology?,To identify the personality of the current job incumbent,"To systematically determine the tasks, duties, responsibilities, and worker requirements of a job",To rank all employees according to tenure and salary,To create compensation packages without regard to job content,2,"Job analysis is the systematic study of a job's tasks, duties, responsibilities, and the KSAOs needed to perform it. It serves as the foundation for personnel functions such as selection, training, appraisal, and compensation.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"A hospital wants to redesign its nurse training program, revise hiring standards, and create more job-related performance appraisals. Which HR activity should be done first?",Job evaluation,Employee counseling,Job analysis,Salary benchmarking,3,"Before training standards, hiring requirements, and appraisals can be made job-related, the organization must first determine what the job actually entails. Job analysis provides that foundation.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which of the following is the best example of a job description?,"""Must possess good moral character and a bachelor's degree""","""Requires high emotional stability and numerical aptitude""","""Prepares monthly reports, coordinates schedules, responds to client inquiries, and maintains records""","""Belongs to salary grade 18 with external market adjustment""",3,"A job description details the duties, tasks, responsibilities, and activities involved in a job. Option C describes what the employee actually does.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which of the following is the best example of a job specification?,"""Monitors inventory, prepares purchase requests, and updates stock ledgers""","""Uses spreadsheets, filing systems, and procurement forms""","""Requires attention to detail, spreadsheet proficiency, and at least one year of clerical experience""","""Reports directly to the purchasing supervisor""",3,"A job specification identifies the qualifications, skills, abilities, and experience required to perform the job successfully.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A company uses job analysis results to determine the relative worth of jobs for compensation purposes. This personnel product is called:,Job enlargement,Job evaluation,Job rotation,Job crafting,2,Job evaluation is the process of determining the relative value or worth of jobs so that compensation decisions can be made fairly.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which product of job analysis is most directly used as the basis for appraising successful job performance?,Performance criteria,Labor market survey,Recruitment source profile,Utility analysis,1,Performance criteria derived from job analysis identify the standards and behaviors used to judge successful job performance.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"An HR officer states, ""We do not need to analyze jobs because our supervisors already know what employees do."" Which is the best rebuttal?",Supervisors are always inaccurate in judging work,Job analysis is unnecessary when jobs are simple,Job analysis provides a more objective and systematic foundation for personnel decisions,"Job analysis is used only for compensation, not selection or appraisal",3,"Job analysis provides structured, objective, and systematic information about jobs, which is more reliable for HR decisions than informal supervisor impressions alone.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"Which job analysis method is generally most appropriate for a highly repetitive, observable manual job such as machine operation?",Observation,Personality inventory,Assessment center,Biodata scoring,1,"Observation is most useful when job tasks are repetitive, visible, and directly observable, as in manual machine operation.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
What is a major limitation of observational job analysis?,It is too useful for cognitive jobs,It may miss mental processes and decision making,It cannot be used with incumbents,It automatically eliminates observer bias,2,"Observation is limited because many important aspects of work, especially thinking, judgment, and decision making, are not directly visible.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A job analyst actually performs part of a microassembly task to understand the fine hand-eye coordination required. This method is called:,Simulation testing,Participation,Functional job analysis,Benchmarking,2,Participation involves the analyst personally performing or trying the job to gain firsthand understanding of its demands.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which source would be most helpful when an organization wants to save time by reviewing prior analyses of similar jobs already on file?,Existing data,Projective testing,Forced distribution,Cognitive interviewing only,1,"Existing data such as prior job analyses, records, and related job information can save time and provide a starting point for analyzing similar jobs.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"A job analyst interviews current incumbents, supervisors, and outside experts to gather job information. The major strength of this approach is that it:",Guarantees identical responses from all sources,Allows access to information that may not be directly observable,Removes the need for follow-up analysis,Is always cheaper than every other method,2,"Interviews can capture information about judgment, reasoning, hidden duties, and job context that observation alone may miss.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Why are multiple job analysis methods often used together?,Because one method is legally prohibited from standing alone,Because different methods provide different types of information and can improve accuracy,Because the law requires at least three methods,Because incumbents are not allowed to describe their own jobs,2,"Different job analysis methods have different strengths, so combining them helps create a more complete and accurate understanding of the job.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"Which job analysis technique focuses primarily on the knowledge, skills, abilities, and other characteristics (KSAOs) needed to perform a job?",Critical incidents technique,Job element method,Salary survey,Graphic rating scale,2,The job element method is person-oriented and focuses on the KSAOs necessary for effective job performance.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
The critical incidents technique is especially useful because it:,Produces raw IQ scores for incumbents,Records particularly effective and ineffective work behaviors,Eliminates the need for SMEs,Focuses only on compensation issues,2,"The critical incidents technique identifies examples of highly effective and ineffective work behaviors, which helps define important job performance dimensions.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which statement best describes the Position Analysis Questionnaire (PAQ)?,It classifies workers only by salary grade,It analyzes jobs using 187 job elements grouped into major categories,It is designed only for executive jobs,It focuses exclusively on personality traits,2,The PAQ is a structured job analysis instrument that uses 187 job elements organized into broad categories to describe and compare jobs.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which of the following is NOT one of the broad PAQ categories?,Information input,Mental processes,Work output,Genetic predisposition,4,"The PAQ categories include information input, mental processes, work output, relationships with others, job context, and other job characteristics, not genetic predisposition.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A strength of the PAQ compared with loosely structured interviews is that the PAQ:,Is less standardized,Depends entirely on interviewer charisma,Can produce more comparable results across analysts,Ignores job context,3,"Because the PAQ is standardized, it helps produce more consistent and comparable job information across analysts and jobs.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Functional job analysis (FJA) classifies jobs in terms of worker interaction with:,"Skills, motives, and interests","Data, people, and things","Traits, values, and culture","Rewards, justice, and commitment",2,"Functional job analysis classifies jobs according to the worker's interaction with data, people, and things.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which resource is now commonly associated with FJA and broad occupational information?,MMPI,O*NET,MBTI,CPI,2,O*NET is a major occupational information system commonly used in modern job analysis and work classification.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A standardized job analysis technique would be most useful when an organization wants to compare many jobs using a common framework. Which choice best fits this need?,Informal chatting with incumbents,Unstructured observation alone,PAQ,Gut feel of the supervisor,3,"The PAQ is specifically designed to analyze many jobs in a standardized way, making cross-job comparison more consistent and systematic.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A job analyst is warned that incumbents may exaggerate the importance of their tasks or that analysts may overlook key duties. This warning refers to:,The certainty of validity,Potential sources of inaccuracy in job analysis,The irrelevance of training,The elimination of bias through interviews,2,"Job analysis can be affected by bias, exaggeration, omission, and other human errors that reduce the accuracy of the information gathered.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which statement best reflects the modern view of job analysis?,It should rigidly dictate every worker action in all jobs,It is useful only in stable factory settings,"It should provide understanding of work while still allowing flexibility in complex, changing jobs",It should replace all managerial judgment,3,Modern organizations require job analysis that captures essential work requirements while still allowing adaptation and flexibility in changing environments.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A company wants to know not only formal duties but also how work actually gets accomplished across changing roles. Which broader concept best fits this need?,Work analysis,Test security,Performance ranking,Adverse impact,1,Work analysis is broader than traditional job analysis because it examines how work is actually carried out across roles and changing situations.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Internal pay equity is primarily concerned with:,Matching salaries to labor market rates outside the organization,Ensuring fairness in pay relationships among jobs within the same organization,Giving all employees exactly the same wage,Increasing only executive compensation,2,Internal pay equity focuses on fair compensation relationships among jobs inside the organization based on their relative worth.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
External pay equity is best determined through:,Compensable factor analysis alone,Pay comparisons with relevant outside labor markets,Personality testing of applicants,Performance appraisal interviews,2,External pay equity is evaluated by comparing organizational pay rates with prevailing compensation levels in the relevant labor market.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"In job evaluation, compensable factors refer to:",Illegal bases for salary discrimination,Dimensions used to judge the relative worth of jobs,Employee benefits unrelated to work,Methods of punishing poor performers,2,Compensable factors are the job characteristics or dimensions used to assess relative job value for compensation purposes.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which scenario best illustrates internal pay inequity?,A firm pays accountants less than the average paid by competitors,Two jobs within the same firm that have similar worth are assigned very different pay levels without justification,A company lowers starting salary during a recession,An employee dislikes the bonus system,2,Internal pay inequity exists when jobs within the same organization that are comparable in worth are paid inconsistently without a sound basis.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which scenario best illustrates external pay inequity?,Salary grades within the company are inconsistent,A job is paid fairly compared with other internal jobs but far below prevailing market rates,A supervisor favors one subordinate,A job description is poorly worded,2,External pay inequity occurs when pay is internally consistent but does not match relevant market compensation levels.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
The idea that jobs requiring equivalent KSAOs should receive equivalent compensation is called:,Utility theory,Comparable worth,Halo effect,BFOQ,2,Comparable worth is the principle that jobs demanding equivalent KSAOs or value should receive equivalent compensation.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which statement is most accurate regarding the pay gap issue discussed in job evaluation?,It is fully solved once jobs are listed alphabetically,It concerns possible inequities in pay for equivalent or comparable work,It refers only to differences in worker satisfaction,"It applies only to private companies, never public organizations",2,The pay gap issue centers on whether people performing work of equivalent or comparable value are compensated fairly.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"A female-dominated clerical job and a male-dominated records position involve highly similar duties, yet the male-dominated position is paid more. From a comparable worth perspective, this is most likely viewed as:",Acceptable because the titles are different,Evidence that compensation should be examined for equity,Proof that job analysis is useless,A matter that only performance appraisal can solve,2,Comparable worth would call for reviewing compensation when jobs with highly similar duties appear to be paid differently without clear justification.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"Which use of job analysis is most directly related to promotion pathways and avoiding the ""Peter Principle""?",Determining worker mobility across similar jobs,Lowering the cost of benefits,Replacing structured interviews,Eliminating all management levels,1,"Job analysis helps identify similarities and differences among jobs, which supports better promotion decisions and reduces the risk of promoting employees into unsuitable roles.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A psychometrician in an organization is asked to independently interpret complex assessment results and decide who should undergo psychotherapy. Which response is most ethical?,Proceed because psychometricians can independently practice therapy,Proceed only if the client is willing to pay extra,"Decline tasks beyond competence and legal boundaries, and work within proper supervision/referral channels",Release raw scores to management and let them decide,3,"Ethical practice requires psychometricians to stay within their competence and legal scope, and to use appropriate supervision or referral when tasks exceed those boundaries.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"In an organizational assessment context, which action is most consistent with ethical standards?",Releasing raw and scaled test scores to any interested supervisor,Using photocopied tests to save costs,"Using standardized, valid, reliable tests appropriate to the client's characteristics",Reporting results without considering test validity,3,"Ethical assessment requires the use of appropriate, valid, reliable, and standardized tests suited to the characteristics and context of the client.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A psychometrician is asked to let an untrained HR assistant administer a psychological test because the office is busy. What is the best ethical response?,Allow it as long as the assistant is confident,Allow it because speed is more important than qualifications,Do not promote assessment by unqualified persons except for training purposes with adequate supervision,Permit it only if the raw scores are hidden,3,"Ethical standards require that assessment tools be used only by qualified persons, except in properly supervised training situations.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which action best reflects ethical handling of test data in the workplace?,Posting raw scores in the HR office for transparency,Releasing responses and scaled scores to all managers involved in hiring,Restricting the use and release of test results to agreed and qualified recipients,Sending all test booklets home with applicants,3,Ethical handling of test data requires confidentiality and controlled release only to those who are authorized and qualified to receive and use the information.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
A psychometrician is explaining results to a referred employee's family member. Which practice is most ethical?,Use only technical psychometric language to preserve prestige,"Explain results in understandable, non-technical language when disclosure is proper",Disclose everything without consent because families are always entitled,Avoid all explanation under any circumstance,2,"When disclosure is appropriate, results should be explained clearly and in non-technical language so the recipient can understand them responsibly.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
Which situation most clearly violates ethical standards on competence and client welfare?,Referring a case because it falls outside one's competence,Seeking consultation before using a new assessment method,Continuing professional development to maintain competence,Performing services despite serious personal problems that impair competent work,4,Ethical standards require professionals to refrain from practice when personal problems impair their ability to provide competent and responsible services.,medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"An HR director pressures a psychometrician to share confidential test materials and detailed notes with all department heads ""for convenience."" What is the best response?",Comply because organizational demand overrides ethics,Share everything to avoid conflict,"Clarify ethical limits, protect confidentiality, and release only what is properly authorized and appropriate",Destroy the records immediately,3,"Ethical practice requires protecting confidentiality, setting proper disclosure limits, and releasing assessment information only when authorized and appropriate.",medium,Industrial/Organizational Psychology,Chapter 2,Job Analysis and Evaluation
"An employer uses a written cognitive ability test for all applicants to an entry-level job. After several hiring cycles, substantially fewer applicants from one protected group pass the test. Which legal question should be examined first?",Whether the organization has an affirmative action plan,Whether the test created adverse impact on a protected class,Whether the applicants were informed of their scores,Whether the organization used internal recruitment only,2,"Adverse impact is a central first legal issue when a selection procedure yields substantially lower success rates for a protected group. Once such impact is shown, the employer must usually justify the procedure by demonstrating job relatedness and considering reasonable alternatives.",medium,Industrial/Organizational Psychology,Chapter 3,Legal Issues in Employee Selection
Which statement best describes adverse impact in employee selection?,Any selection decision that disappoints an applicant,A deliberate attempt to exclude a protected group,A substantially different selection rate that disadvantages a protected group,A hiring decision based on supervisory preference,3,"Adverse impact refers to a pattern in selection outcomes in which a protected group is selected at a substantially lower rate than another group. The concept focuses on discriminatory effect, even without proof of intent.",medium,Industrial/Organizational Psychology,Chapter 3,Legal Issues in Employee Selection
A female applicant is denied a job as a religious counselor in a male monastic order because the role requires membership in that order under its established religious doctrine. Which concept is most directly involved?,Hostile work environment,Reverse discrimination,Bona fide occupational qualification,Reasonable accommodation,3,A BFOQ is a narrow exception allowing consideration of a protected characteristic when it is genuinely necessary to perform the job or preserve the essential nature of the role. It is interpreted strictly and does not apply broadly.,medium,Industrial/Organizational Psychology,Chapter 3,Legal Issues in Employee Selection
"A test produces adverse impact, but the employer can show through evidence that the test predicts successful job performance. Under employee selection law, the employer's strongest defense is that the test is:",Expensive to replace,Popular with supervisors,Job related,Convenient to administer,3,"When a test produces adverse impact, an employer's strongest legal defense is evidence that the test is job related, meaning it validly predicts or measures performance on important job requirements. That is why validity documentation is critical.",medium,Industrial/Organizational Psychology,Chapter 3,Legal Issues in Employee Selection
